window_name,best_score,upper_best,lower_best
window_01,-273798784.0,"[-0.16055209934711456, -1.0, -0.7881022691726685, 0.2752460837364197, -0.9998411536216736, 0.1273948699235916, 0.9999542236328125, 0.2817329466342926, -0.2636182904243469, 0.9999598264694214, -0.4222052991390228, -1.0]","[0.05462970584630966, -0.17613455653190613, 0.0015504846815019846, -0.021994056180119514, 0.0372941829264164, 0.07082846015691757, -0.30998361110687256, -0.08889272063970566]"
window_02,-400555328.0,"[-0.45278552174568176, -1.0, 0.3909098505973816, 0.6391692161560059, -1.0, -0.05002978816628456, 1.0, 0.0013504624366760254, 1.0, -0.27619221806526184, -0.029826026409864426, -0.1379052698612213]","[0.19636249542236328, -0.08014912903308868, -0.029890842735767365, -0.06431665271520615, -0.007196490187197924, 0.010077623650431633, 0.07449748367071152, 0.193775936961174]"
window_03,-411021632.0,"[-1.0, -1.0, -0.06001099571585655, -0.48171430826187134, -1.0, -0.3096269369125366, 0.9087778925895691, 0.30263492465019226, 1.0, 0.9623679518699646, -0.6547064781188965, -1.0]","[0.024971047416329384, -0.20577868819236755, -0.11344194412231445, 0.026757091283798218, -0.1965698003768921, 0.11043909937143326, 1.0, -0.06403976678848267]"
window_04,-406583808.0,"[-0.3653693199157715, -1.0, -0.10210560262203217, -1.0, -0.9997546672821045, 0.2756819725036621, 0.13080546259880066, 0.8880797028541565, 0.6273543238639832, 0.5262872576713562, -0.39997825026512146, -1.0]","[0.07939383387565613, 0.11227312684059143, 0.17218433320522308, -0.0747239887714386, 0.08857835829257965, 0.008159177377820015, 0.09778351336717606, 0.19439172744750977]"
window_05,-534781216.0,"[-0.5947404503822327, -1.0, 0.4551314115524292, -0.2233322262763977, -1.0, 0.5783607959747314, 0.24500742554664612, 0.02752065472304821, 1.0, -0.08760878443717957, -0.9348676800727844, -0.23558855056762695]","[0.06643311679363251, -0.2327796220779419, -0.13121795654296875, 0.02212471142411232, 0.03202500939369202, -0.13567782938480377, 0.24367842078208923, -0.17302846908569336]"
window_06,-559399552.0,"[-1.0, -1.0, 0.2096739411354065, 0.3529964089393616, -1.0, 0.41659069061279297, 0.6815603375434875, 0.09224636107683182, 1.0, 0.3518427312374115, -0.4929725229740143, -0.7436955571174622]","[0.20368799567222595, -0.013628293760120869, -0.012053440324962139, 0.10062329471111298, -0.005974806845188141, 0.08930759131908417, -0.10569605231285095, 1.0]"
window_07,-625186560.0,"[-0.3595463037490845, -1.0, 0.3842489719390869, 0.1810619831085205, -0.14000536501407623, 0.019019734114408493, 0.23137925565242767, -0.03268102928996086, 1.0, -0.12823592126369476, -0.8215978145599365, -0.3647017180919647]","[-0.15838421881198883, -0.036382440477609634, -0.3034398853778839, 0.19246560335159302, 0.04267287626862526, -0.15133962035179138, 0.07423026859760284, -0.005045419558882713]"
window_08,-717521024.0,"[-0.16837178170681, -0.5490331649780273, 0.1932084709405899, -0.6895624995231628, -1.0, 0.23083184659481049, 0.5852223634719849, -0.052660029381513596, -0.3119224011898041, 0.47768211364746094, -1.0, -1.0]","[0.0018340261885896325, 0.034107524901628494, -0.1420251578092575, 0.014531945809721947, 0.005473753437399864, -0.12051679193973541, 0.01791684702038765, 0.0550500862300396]"
window_09,-766919680.0,"[-0.7979944944381714, -0.9994876980781555, 0.6166223287582397, -0.050537109375, -0.9676195383071899, 0.4054516553878784, 0.31167879700660706, 0.2788741886615753, 0.9995394945144653, -0.0885426253080368, -1.0, -0.5334835648536682]","[0.021774977445602417, 0.17434357106685638, 0.04707275331020355, 0.055937014520168304, 0.034185536205768585, 0.062248487025499344, -0.012244638055562973, 0.06615551561117172]"
window_10,-784502656.0,"[-0.6459307074546814, -1.0, 0.49044620990753174, 0.8244263529777527, -0.4280132055282593, 0.01660729944705963, 0.04506291076540947, 0.596133828163147, 0.7494471669197083, 0.16586507856845856, -0.9976813793182373, -0.9797484874725342]","[0.0008390281582251191, -0.19941546022891998, -0.20618627965450287, 0.10298997163772583, 0.039418287575244904, -0.13689783215522766, -0.0465872660279274, 0.19512180984020233]"
