strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records,cost_savings_vs_fixed_lock,cost_savings_vs_rule_only
rule_only,3720074721.589506,1240024907.196502,147526005.97761083,1445295586.0060682,2185.469887656667,-20.0,-1468.2921733709534,54953772.45337713,2274779135.583438,1824,31619420.51411438,0.0
dynamic_lock_only,3749689439.231416,1249896479.7438054,200010162.5095394,1490177344.5597897,0.0,-20.0,0.0,1190367.4676654283,2259512094.6716266,1824,2004702.8722043037,-29614717.641910076
fixed_lock,3751694142.1036205,1250564714.0345402,199177456.02496183,1490177344.5597897,0.0,-20.0,0.0,1158608.0325,2261516797.543831,1824,0.0,-31619420.51411438
ppo,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824,-7903028.627621651,-39522449.14173603
