month,lock_ratio,hedge_intensity,q_lt_target_mwh,lt_price_m,procurement_cost_m,trading_cost_m,risk_term_m,hedge_error_m,avg_adjustment_mwh,reward,strategy
2026-03-01,0.01023830659687519,0.0,99688.93493466033,398.49527529761906,4031736315.638957,0.0,2457809.85449671,228.5880078125,0.0,-4031.960370988254,ppo
2026-03-01,0.6,0.0,5842114.649999999,398.49527529761906,4022879473.3077908,0.0,1976603.2862859098,228.5880078125,0.0,-4023.0650321316307,fixed_lock
2026-03-01,0.5077730608958594,0.0,4944114.06322507,398.49527529761906,4024264506.393982,0.0,2047390.5494037608,228.5880078125,0.0,-4024.455728198872,dynamic_lock_only
2026-03-01,0.0,0.75,0.0,398.49527529761906,4659092735.104519,4705785.919417029,2918000.778265464,1086.56559851894,1225.4650831815181,-4664.162348958021,rule_only
