factor,value,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records
风险厌恶系数,0.04,ppo_sensitivity_lambda_risk,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
风险厌恶系数,0.06,ppo_sensitivity_lambda_risk,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
风险厌恶系数,0.1,ppo_sensitivity_lambda_risk,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
市场波动率强度,0.8,ppo_sensitivity_market_vol,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
市场波动率强度,1.0,ppo_sensitivity_market_vol,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
市场波动率强度,1.2,ppo_sensitivity_market_vol,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
价格限值倍数,0.9,ppo_sensitivity_price_cap,3495406061.758643,1165135353.9195478,164949151.48391184,1361110198.8525395,0.0,-20.0,0.0,1069161.6,2134295862.9061036,1824
价格限值倍数,1.0,ppo_sensitivity_price_cap,3759597170.731242,1253199056.910414,201839809.62210953,1496763878.6316762,0.0,-20.0,0.0,1069161.6,2262833292.099566,1824
价格限值倍数,1.1,ppo_sensitivity_price_cap,4023788279.7038417,1341262759.9012806,238815980.00418475,1632417558.410813,0.0,-20.0,0.0,1069161.6,2391370721.293029,1824
