week_start,is_partial_week,lock_ratio,hedge_intensity,q_lt_target_w,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,procurement_cost_w,risk_term_w,trans_cost_w,hedge_error_w,cvar_w,baseline_cost_w,baseline_risk_w,delta_cost_w,delta_risk_w,reward_penalty_w,reward_budget_w,reward_excess_w,z_delta_cost_w,z_delta_risk_w,z_trans_cost_w,z_hedge_error_w,reward_raw,reward,avg_adjustment_mwh,bound_clip_count,smooth_clip_count,non_negative_clip_count,cvar_budget_excess,strategy
2026-03-02,False,0.1,0.7410551905632019,357820.625,3578206.25,3547310.6725000003,374.7924238095238,da_id_mixed_proxy,1438696377.613625,2088108.8880642676,8107540.421514724,1570.5174909488883,3351816.5860749823,1444733909.8516793,1883149.5399506837,-6037532.2380542755,204959.34811358387,0.0,250950083.34508926,0.0,-0.11066417505070113,0.25384170309004167,1.6521454871886923,1.2108782550695985,-1.0944674972117339,-0.3494547300683091,-1422.6603480917452,73,166,0,0.0,ppo
2026-03-09,False,0.1,0.10399821400642395,311210.45,3112104.5,3145729.6325000003,305.6776642857143,da_id_mixed_proxy,1199121589.9115078,2271246.7377257003,2032036.4451321862,712.3553606039213,3555184.456134856,1119224647.6187735,1816670.3045151185,79896942.29273438,454576.4332105818,0.0,199800796.7438325,0.0,1.115138239837036,0.6879967754828047,0.39373719306792787,0.5492301875074265,-1.995574243424654,-0.5818079042665821,-586.2930120382646,0,144,0,0.0,ppo
2026-03-16,True,0.1,0.5341571569442749,258435.7,2584357.0,2626751.605,383.18327666666664,da_id_mixed_proxy,1104933082.2966013,2566894.086935955,4565509.153014467,1211.352283302553,4005403.5036549107,1045367824.5261635,2012202.0224787337,59565257.77043784,554692.0644572214,0.0,172648284.676554,0.0,0.8251192675648841,0.8621263191982992,0.9184908729142426,0.933959760100313,-2.1631780444786175,-0.6175650586029738,652.5766202070489,0,117,0,0.0,ppo
2026-03-02,False,0.25,0.0,894551.5625,3578206.25,3547310.6725000003,374.7924238095238,da_id_mixed_proxy,1474880790.7909892,2059274.283931176,536730.9375,0.0,3350896.9282193254,1444733909.8516793,1883149.5399506837,30146880.939309835,176124.74398049223,0.0,250950083.34508926,0.0,0.4054842193659898,0.203690129370821,0.08401723232662928,0.0,-0.5978423541769669,-0.19668402541845595,0.0,0,0,0,0.0,fixed_lock
2026-03-09,False,0.5,0.0,1556052.25,3112104.5,3145729.6325000003,305.6776642857143,da_id_mixed_proxy,1128373444.0234392,1855415.6959362903,466815.675,0.0,2987615.776221313,1119224647.6187735,1816670.3045151185,9148796.404665709,38745.39142117184,0.0,199800796.7438325,0.0,0.10595946086686553,-0.035251619077550686,0.06953580880067242,0.0,-0.10209569868506033,-0.03401876740152853,0.0,0,0,0,0.0,fixed_lock
2026-03-16,True,0.6,0.0,1550614.2,2584357.0,2626751.605,383.18327666666664,da_id_mixed_proxy,1043620031.8060744,1949795.4525513565,155061.41999999995,0.0,3231250.0227020048,1045367824.5261635,2012202.0224787337,-1747792.720089078,-62406.56992737716,0.0,172648284.676554,0.0,-0.049473679745151516,-0.2111836354492835,0.004962706430154248,0.0,0.21668364085402436,0.07210254075576526,0.0,0,0,0,0.0,fixed_lock
2026-03-02,False,0.25,0.0,894551.5625,3578206.25,3547310.6725000003,374.7924238095238,da_id_mixed_proxy,1474880790.7909892,2059274.283931176,536730.9375,0.0,3350896.9282193254,1444733909.8516793,1883149.5399506837,30146880.939309835,176124.74398049223,0.0,250950083.34508926,0.0,0.4054842193659898,0.203690129370821,0.08401723232662928,0.0,-0.5978423541769669,-0.19668402541845595,0.0,0,0,0,0.0,dynamic_lock_only
2026-03-09,False,0.5,0.0,1556052.25,3112104.5,3145729.6325000003,305.6776642857143,da_id_mixed_proxy,1128373444.0234392,1855415.6959362903,466815.675,0.0,2987615.776221313,1119224647.6187735,1816670.3045151185,9148796.404665709,38745.39142117184,0.0,199800796.7438325,0.0,0.10595946086686553,-0.035251619077550686,0.06953580880067242,0.0,-0.10209569868506033,-0.03401876740152853,0.0,0,0,0,0.0,dynamic_lock_only
2026-03-16,True,0.5404818420761452,0.0,1396798.0319423806,2584357.0,2626751.605,383.18327666666664,da_id_mixed_proxy,1045367824.5261635,2012202.0224787337,62771.71916542835,0.0,3305963.756778603,1045367824.5261635,2012202.0224787337,0.0,0.0,0.0,172648284.676554,0.0,-0.024542491782388088,-0.10264086933984015,-0.014153094570654187,0.0,0.11160877035398917,0.037185769286300706,0.0,0,0,0,0.0,dynamic_lock_only
2026-03-02,False,0.1,0.7,357820.625,3578206.25,3547310.6725000003,374.7924238095238,da_id_mixed_proxy,1439176964.4985485,2088015.1621715513,7685101.384290475,1527.7311294642852,3351502.575714326,1444733909.8516793,1883149.5399506837,-5556945.353130817,204865.62222086755,0.0,250950083.34508926,0.0,-0.10380889877980841,0.25367868711811203,1.564646443443533,1.1778897178302261,-1.0590217073604968,-0.3390398127838808,-1379.8739866071428,70,166,0,0.0,rule_only
