timesteps,ep_rew_mean,ep_len_mean,loss,value_loss,policy_gradient_loss,entropy_loss
128.0,,,,,,
256.0,,,,,,
384.0,,,34200.69921875,70816.04208984374,-0.004227764112874866,-2.821416884660721
512.0,,,,,,
640.0,,,34213.72265625,73346.5693359375,-0.006795209809206426,-2.823192286491394
768.0,,,,,,
896.0,,,40436.96875,72831.96494140624,-0.0031493542017415168,-2.8144782543182374
1024.0,,,,,,
1152.0,,,41222.76171875,70240.2603515625,-0.007301286142319441,-2.829167717695236
1280.0,,,,,,
1408.0,,,32869.26171875,72760.56572265625,-0.01135762520134449,-2.8395512819290163
1536.0,,,,,,
1664.0,,,34152.53515625,72077.47109375,-0.009763904102146625,-2.843351650238037
1792.0,,,,,,
1920.0,,,33662.5703125,69686.29853515625,-0.010565049131400883,-2.843808192014694
2048.0,,,,,,
2176.0,,,37138.44921875,72192.95869140625,-0.01242363713681698,-2.830587548017502
2304.0,,,,,,
2432.0,,,37330.71484375,71366.85185546875,-0.010522128362208606,-2.8206916570663454
2560.0,,,,,,
2688.0,,,34257.296875,69151.21416015625,-0.013013993622735143,-2.794571894407272
2816.0,,,,,,
2944.0,,,35891.8515625,71642.06162109374,-0.010995182511396705,-2.786648464202881
3072.0,,,,,,
3200.0,,,34330.93359375,70676.42763671876,-0.0037063424242660403,-2.787975412607193
3328.0,,,,,,
3456.0,,,27640.48828125,68627.3640625,-0.010761618381366134,-2.7894076883792875
3584.0,,,,,,
3712.0,,,36705.78125,71100.9634765625,-0.0055578482337296006,-2.7925358712673187
3840.0,,,,,,
3968.0,,,32735.1171875,70000.16298828126,-0.013349633710458875,-2.8025297999382017
4096.0,,,,,,
