week_start,dynamic_lock_only,fixed_lock,ppo,rule_only
2026-03-02,1487289134.6982782,1487289134.6982782,1460676707.6805258,1438113394.5913448
2026-03-09,1197097714.343957,1197097714.343957,1156735820.5443301,1132033478.866404
2026-03-16,1049932251.2022532,1049932251.2022532,1040506439.664144,1142237298.1889596
