window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
window_01,window_01_test,1515392256.0,92192896.0,0.0,4111997.5,0.7013352513313293,0.0,43953264.0,0.0,1
window_02,window_02_test,1546190848.0,556125568.0,0.0,5959721.0,0.7116512656211853,0.0,95776920.0,0.0,1
window_03,window_03_test,1991518336.0,-54892672.0,0.0,4703338.5,0.6963900923728943,0.0,31491508.0,0.0,1
window_04,window_04_test,1895236224.0,-187116256.0,0.0,7120240.0,0.5151082277297974,0.0,-292307040.0,0.0,1
window_05,window_05_test,1680630784.0,-75754992.0,0.0,6224485.5,0.5102570652961731,0.0,-250466800.0,0.0,1
window_06,window_06_test,1280228864.0,8191158.0,0.0,4788892.0,0.5181418657302856,0.0,-139984320.0,0.0,1
window_07,window_07_test,1228817920.0,163907728.0,0.0,3422713.25,0.5309906005859375,0.0,-8224623.5,0.0,1
window_08,window_08_test,1371918592.0,153038448.0,0.0,4027315.25,0.5158193707466125,0.0,4485897.5,0.0,1
window_09,window_09_test,1067384448.0,284943136.0,0.0,3489460.5,0.5251306891441345,0.0,-7634909.0,0.0,1
window_10,window_10_test,1016492288.0,112731704.0,0.0,3919929.5,0.5277470350265503,0.0,-8616476.0,0.0,1
