window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown
window_01,window_01_test,1500799360.0,106785264.0,0.0,3462629.25,0.7010982632637024,0.0,-2008411.25,0.0
window_02,window_02_test,1625210880.0,477077120.0,0.0,4883178.0,0.7020098567008972,1.3934493571259303,124191624.0,0.0
window_03,window_03_test,1976531328.0,-39905716.0,0.0,3607147.0,0.696370542049408,0.0,21468462.0,0.0
window_04,window_04_test,1500090624.0,208462592.0,0.0,3356887.75,0.6968379020690918,0.0,70730504.0,0.0
window_05,window_05_test,1266310272.0,338976896.0,0.0,3276842.5,0.6939095258712769,0.0,96206048.0,0.0
window_06,window_06_test,1014507520.0,274237344.0,0.0,2675109.5,0.698781430721283,0.004066238318598282,42904240.0,0.0
window_07,window_07_test,1134426624.0,258565792.0,0.0,2550025.0,0.6727648973464966,372.42273623602733,14888210.0,0.0
window_08,window_08_test,1413880320.0,111028232.0,0.0,2360423.25,0.010043594054877758,2158.062248468399,-72704168.0,0.0
window_09,window_09_test,952445952.0,400217856.0,0.0,2810526.0,0.7032063007354736,0.0,70716904.0,0.0
window_10,window_10_test,953587200.0,175617312.0,0.0,2523932.25,0.01980040781199932,2073.5028581937154,33236114.0,0.0
