window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-138031520.0,1500799104.0,106786048.0,3463053.0
window_02,-106670992.0,2042885120.0,58450800.0,3824264.0
window_03,-91812400.0,2049496064.0,-113686448.0,3342027.0
window_04,-91870448.0,1723759872.0,-15928074.0,2899369.0
window_05,-87649736.0,1286198016.0,318986304.0,3227127.5
window_06,-109120512.0,1014496256.0,274248704.0,2675172.5
window_07,-179885552.0,1135320704.0,257661360.0,2543014.0
window_08,-276092096.0,1322422400.0,202921216.0,2847448.0
window_09,-496521056.0,952445824.0,400217984.0,2810526.5
window_10,-517295264.0,1005325696.0,124177408.0,3053831.25
