训练步数,损失值
128.0,0.0
256.0,0.0
384.0,0.5861349701881409
512.0,0.5861349701881409
640.0,0.6358885765075684
768.0,0.6358885765075684
896.0,2.6809260845184326
1024.0,2.6809260845184326
1152.0,0.6140531301498413
1280.0,0.6140531301498413
1408.0,0.91581130027771
1536.0,0.91581130027771
1664.0,0.4076547622680664
1792.0,0.4076547622680664
1920.0,0.20389024913311005
2048.0,0.20389024913311005
2176.0,0.45083087682724
2304.0,0.45083087682724
2432.0,0.4663975238800049
2560.0,0.4663975238800049
2688.0,0.7531180381774902
2816.0,0.7531180381774902
2944.0,0.4726320505142212
3072.0,0.4726320505142212
3200.0,0.4894997179508209
3328.0,0.4894997179508209
3456.0,0.6308509707450867
3584.0,0.6308509707450867
3712.0,0.2952041029930115
3840.0,0.2952041029930115
3968.0,0.841370701789856
4096.0,0.841370701789856
