#{"t_start": 1776147097.2599502, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-12.921116,96,0.994671,1675795499.8137808,2130919.2169033503,281653.8350768285,20.752495479634824,3630537.568891593
-11.99073,96,2.005682,1685657757.050969,2154074.432715082,130001.3102824558,20.752495479634813,3662752.2168415454
-11.012434,96,3.044919,1661439931.3100095,2097696.3700787094,222683.0654852816,20.75249547963484,3584282.08518544
-12.65444,96,4.039604,1664970170.1669207,2105775.681417443,150817.92238036814,20.75249547963485,3595513.3793183197
-10.157224,96,5.055668,1628392233.3837032,2023889.3517967344,236530.06404879558,20.752495479634824,3481462.4924613647
-9.673743,96,6.115649,1683732828.347056,2248829.0679573817,16987282.260061048,2154.598820758566,3868252.962371929
-11.253517,96,7.132602,1626336323.2936013,2019397.248454492,115171.9082420351,20.752495479634824,3475178.0572800087
-13.372357,96,8.12313,1637961603.0365472,2044868.766490782,281653.83507682866,20.75249547963484,3510713.8121563536
-12.207847,96,9.146806,1727057195.897212,2369351.3391716913,19855278.923228607,2322.6196894518534,4055994.8794592987
-8.864003,96,10.16679,1626336323.2936013,2019397.248454492,145212.35390609966,20.752495479634824,3475178.0572800087
-8.868221,96,11.192728,1674245293.8890312,2127289.214373166,129480.93527927929,20.75249547963483,3625477.024320077
-11.074869,96,12.188081,1697294260.5754452,2263287.3052674267,12051094.816306526,1811.7958472167347,3865075.552403036
-7.224687,96,13.251032,1680124229.6964011,2141067.275566535,53566.53150657211,20.752495479634824,3644668.420902491
-4.901749,96,14.265551,1629884800.4190364,2027153.9924652178,130942.93443103926,20.752495479634828,3486024.919988005
-6.75832,96,15.28385,1800278026.0225887,2541246.7564976504,38823366.63595926,3331.152545573774,4335627.439324605
-7.183179,96,16.292617,1683164609.3895674,2148205.1665297695,165952.96669591154,20.752495479634824,3654593.539047093
-5.554784,96,17.312843,1685657757.050969,2154074.432715082,67588.70510224742,20.752495479634813,3662752.2168415454
-4.879672,96,18.328898,1680593099.4589534,2206902.862517119,9717679.047922209,1635.611362807761,3767185.1782359025
-3.798299,96,19.344109,1617063755.661705,2009496.4797731184,1020256.7801182284,479.2175636819044,3452612.4184424696
-6.947892,96,20.43936,1626488429.0329227,2019729.4062726004,281653.83507682866,20.752495479634824,3475643.008867182
-5.914449,96,21.459843,1649307755.973321,2070119.403896646,109740.15837089467,20.75249547963485,3545862.3528185706
-4.401726,96,22.557818,1615713675.6468103,2006188.4417993417,1686370.5142588608,668.1778673726446,3443346.301061038
-3.692585,96,23.660633,1638211895.8140912,2045419.013884087,281653.83507682866,20.75249547963485,3511478.898501526
-3.501029,96,24.688995,1656927741.2470794,2087421.6034143562,180677.41942287434,20.75249547963485,3569993.045520641
-3.645291,96,25.73294,1649179134.7446814,2069827.8994680417,30102.089455904636,20.75249547963485,3545455.0397816338
-2.588141,96,26.745061,1768872791.969169,2468151.0268443394,32534567.012794595,3041.0493659306817,4223471.934035119
-3.610805,96,27.800517,1812282747.7258193,2574637.953088758,32896094.23632269,3054.6586362757976,4379804.880931251
-3.944456,96,28.802584,1659423298.2137954,2098664.1198427454,333803.25061003875,174.78706252500172,3583210.0245455527
-3.626024,96,29.864003,1658402463.8172867,2090777.370811158,72042.13180753823,20.75249547963485,3574663.1434124364
-1.523075,96,30.980185,1645598438.2251134,2061741.931266158,191782.83900915805,20.752495479634852,3534159.3409381844
-4.236482,96,32.030937,1655667065.7277594,2084554.732635325,281653.83507682866,20.752495479634852,3566000.784058076
-0.72052,96,33.072549,1626336323.2936013,2019397.248454492,227250.25162920073,20.752495479634824,3475178.0572800087
-1.585132,96,34.246298,1626336323.2936013,2019397.248454492,115171.9082420351,20.752495479634824,3475178.0572800087
