iteration,best_score,mean_score,upper_particles,lower_particles
160,-485664512.0,-271537568.0,192,160
161,-485937408.0,-383369536.0,192,160
162,-486164960.0,-199382720.0,192,160
163,-486374592.0,-393757344.0,192,160
164,-487026688.0,-367749120.0,192,160
165,-487389376.0,-246774192.0,192,160
166,-487582944.0,-138670816.0,192,160
167,-487582944.0,-335136224.0,192,160
168,-487582944.0,-267199712.0,192,160
169,-487582944.0,-250571264.0,192,160
170,-487582944.0,-304664800.0,192,160
171,-487726592.0,-190401200.0,192,160
172,-487726592.0,-341990880.0,192,160
173,-487954112.0,-331864768.0,192,160
174,-487954112.0,-300515808.0,192,160
175,-487959104.0,-11489596.0,192,160
176,-488026784.0,-149394848.0,192,160
177,-488026784.0,-229474032.0,192,160
178,-488026784.0,-217741584.0,192,160
179,-488026784.0,171500256.0,192,160
180,-488052416.0,-39059272.0,192,160
181,-488052416.0,-217699392.0,192,160
182,-488052416.0,-318142848.0,192,160
183,-488062336.0,-293091424.0,192,160
184,-488073952.0,-110456920.0,192,160
185,-488156960.0,-16792444.0,192,160
186,-488234752.0,279908544.0,192,160
187,-488234752.0,-220441440.0,192,160
188,-488234752.0,-188894336.0,192,160
189,-488272896.0,-174146816.0,192,160
190,-488272896.0,81225432.0,192,160
191,-488272896.0,-279463392.0,192,160
192,-488323712.0,-103863848.0,192,160
193,-488348608.0,-7553796.5,192,160
194,-488348608.0,-11672282.0,192,160
195,-488348608.0,-100133568.0,192,160
196,-488348608.0,-146480384.0,192,160
197,-488364992.0,80808848.0,192,160
198,-488440128.0,48845948.0,192,160
199,-488470496.0,-83731984.0,192,160
200,-488470496.0,-32763500.0,192,160
201,-488470496.0,81900008.0,192,160
202,-488513216.0,-226350848.0,192,160
203,-488513216.0,-93884744.0,192,160
204,-488517472.0,-38430916.0,192,160
205,-488526912.0,72727424.0,192,160
206,-488559488.0,-139616864.0,192,160
207,-488608448.0,-100094160.0,192,160
208,-488633408.0,-3104077.0,192,160
209,-488835776.0,137507904.0,192,160
210,-488835776.0,998880896.0,192,160
211,-488835776.0,1238094080.0,192,160
212,-489115328.0,487171840.0,192,160
213,-489349408.0,-93325672.0,192,160
214,-489349408.0,-273642368.0,192,160
215,-489349408.0,167629600.0,192,160
216,-489349408.0,422358432.0,192,160
217,-489349408.0,253959904.0,192,160
218,-489349408.0,-257418320.0,192,160
219,-489580928.0,271905568.0,192,160
220,-489580928.0,154928688.0,192,160
221,-489580928.0,-106216768.0,192,160
222,-489580928.0,-309583072.0,192,160
223,-489580928.0,-198408624.0,192,160
224,-489580928.0,-40495084.0,192,160
225,-489580928.0,67763784.0,192,160
226,-489658528.0,-293988448.0,192,160
227,-489700032.0,-87398296.0,192,160
228,-489700032.0,-105253464.0,192,160
229,-489820896.0,105697248.0,192,160
230,-489820896.0,-107139624.0,192,160
231,-490015456.0,-47614920.0,192,160
232,-490015456.0,-123764712.0,192,160
233,-490026976.0,-66582532.0,192,160
