week_start,is_partial_week,lock_ratio_base,delta_lock_ratio_raw,delta_lock_ratio,lock_ratio_final,lock_ratio,exposure_bandwidth,q_lt_target_w,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,procurement_cost_w,risk_term_w,trans_cost_w,hedge_error_w,cvar_w,baseline_cost_w,delta_cost_w,tail_penalty_w,reward_budget_w,reward_excess_w,z_delta_cost_w,action_smooth_w,hourly_smooth_w,hedge_error_norm_w,exec_quality_w,reward_raw,reward,avg_adjustment_mwh,mean_bandwidth_mwh,bound_clip_count,smooth_clip_count,soft_clip_count,non_negative_clip_count,cvar_budget_excess,strategy
2026-03-02,False,0.5368496811327237,-0.056669097393751144,-0.0068002916872501595,0.12,0.12,0.15030263364315033,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1460676707.6805258,2167697.8720335313,2990628.7963379277,830.4204182755396,3502893.37190625,1443479716.2702236,17196991.410302162,0.0,250950083.34508926,0.0,0.10655504577091425,1.0,0.8523488024420899,0.03932856271987287,0.1952670454849443,-0.3178053481214957,-0.14346045967907264,830.4204182755396,2400.305771080814,0,166,166,0,0.0,ppo
2026-03-09,False,0.5338797982060696,-0.3087334930896759,-0.037048019170761115,0.24,0.24,0.23129568994045258,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1156735820.5443301,2129588.4091727217,6195045.234600254,1280.6374604293753,3369703.82767835,1117739318.3795485,38996502.16478157,0.0,199800796.7438325,0.0,0.2966903068377844,1.0,0.8440724271636015,0.06839338356651826,0.19983660321506141,-0.5410304560785135,-0.2410823508801149,1280.6374604293753,2773.484639633385,5,167,167,0,0.0,ppo
2026-03-16,True,0.5404818420761452,-0.023466017097234726,-0.0028159220516681405,0.36,0.36,0.22809287905693054,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1040506439.664144,2126724.661096637,3620909.174904212,1122.7128538583863,3411995.70269385,1044632274.5112318,-4125834.847087741,0.0,172648284.676554,0.0,-0.07942257468092427,1.0,0.7744480789988488,0.051289791621924735,0.19118800881185435,-0.09985204792879145,-0.045356154131970236,1122.7128538583863,2677.198596047411,11,117,117,0,0.0,ppo
2026-03-02,False,0.5368496811327237,0.5262526572273024,0.06315031886727629,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1487289134.6982782,2138518.797495934,262663.79768856167,19.059079193135307,3441325.278022448,1443479716.2702236,43809418.42805457,0.0,250950083.34508926,0.0,0.3386685466486187,1.0,0.028013171047785675,0.0009026345871730894,0.122403527909514,-0.5118723565554254,-0.2285597030402113,19.059079193135307,30.0,0,102,102,0,0.0,fixed_lock
2026-03-09,False,0.5338797982060696,0.5510016816160868,0.06612020179393041,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1197097714.343957,2152758.9876678847,229222.41135169688,19.485934306873656,3397518.062936522,1117739318.3795485,79358395.9644084,0.0,199800796.7438325,0.0,0.6487266117428576,1.0,0.022022989253813335,0.0010406606244011895,0.12194915805269727,-0.8679847615569835,-0.375266244507426,19.485934306873656,30.0,0,83,83,0,0.0,fixed_lock
2026-03-16,True,0.5404818420761452,0.4959846493654561,0.05951815792385473,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1049932251.2022532,2200608.2898146356,189831.0207690107,19.869884363988042,3528880.653971087,1044632274.5112318,5299976.691021442,0.0,172648284.676554,0.0,0.0027893225377894977,1.0,0.025022741832515693,0.0009077318613377472,0.12216521108164204,-0.12537293200009997,-0.056926085363423716,19.869884363988042,30.0,0,67,67,0,0.0,fixed_lock
2026-03-02,False,0.5368496811327237,0.0,0.0,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1487289134.6982782,2138518.797495934,262663.79768856167,19.059079193135307,3441325.278022448,1443479716.2702236,43809418.42805457,0.0,250950083.34508926,0.0,0.3386685466486187,1.0,0.028013171047785675,0.0009026345871730894,0.122403527909514,-0.5118723565554254,-0.2285597030402113,19.059079193135307,30.0,0,102,102,0,0.0,dynamic_lock_only
2026-03-09,False,0.5338797982060696,0.0,0.0,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1197097714.343957,2152758.9876678847,229222.41135169688,19.485934306873656,3397518.062936522,1117739318.3795485,79358395.9644084,0.0,199800796.7438325,0.0,0.6487266117428576,1.0,0.022022989253813335,0.0010406606244011895,0.12194915805269727,-0.8679847615569835,-0.375266244507426,19.485934306873656,30.0,0,83,83,0,0.0,dynamic_lock_only
2026-03-16,True,0.5404818420761452,0.0,0.0,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1049932251.2022532,2200608.2898146356,189831.0207690107,19.869884363988042,3528880.653971087,1044632274.5112318,5299976.691021442,0.0,172648284.676554,0.0,0.0027893225377894977,1.0,0.025022741832515693,0.0009077318613377472,0.12216521108164204,-0.12537293200009997,-0.056926085363423716,19.869884363988042,30.0,0,67,67,0,0.0,dynamic_lock_only
2026-03-02,False,0.5368496811327237,-1.0,-0.5368496811327237,0.1,0.1,0.7,357820.625,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1438113394.5913448,2112286.3675295385,13847234.380159732,2034.312876819488,3397696.6876529455,1443479716.2702236,-5366321.678878784,0.0,250950083.34508926,0.0,-0.09024209674584674,0.8333333333333334,0.9766468097132783,0.09634469457528856,0.19547378980061422,-0.09169537854289048,-0.0416555989597016,2034.312876819488,11432.938204916289,0,168,168,0,0.0,rule_only
