2026-04-27 02:13:14 | INFO | elec.pipeline | 已加载数据文件: /research/elec_remote_runs/v0.46/jupyter-v046-release-20260427T000000Z/project/total.csv
2026-04-27 02:13:14 | INFO | elec.pipeline | 训练算法: HYBRID_PSO_V040
2026-04-27 02:13:14 | INFO | elec.pipeline | 政策来源文件数: 18
2026-04-27 02:13:14 | INFO | elec.pipeline | 政策候选规则数: 34
2026-04-27 02:13:14 | INFO | elec.pipeline | 政策正式规则数: 34
2026-04-27 02:13:14 | INFO | elec.pipeline | 滚动重训窗口数: 10
2026-04-27 02:13:14 | INFO | elec.train | 开始执行 v0.46 训练模块。
2026-04-27 02:14:32 | INFO | elec.train | 训练模块执行完成。
2026-04-27 02:14:32 | INFO | elec.evaluate | 开始执行验证模块。
2026-04-27 02:14:33 | INFO | elec.evaluate | 验证模块执行完成。
2026-04-27 02:14:33 | INFO | elec.backtest | 开始执行 v0.46 回测模块。
2026-04-27 02:27:12 | INFO | elec.backtest | 回测模块执行完成。
