week_start,is_partial_week,lock_ratio_base,delta_lock_ratio_raw,delta_lock_ratio,lock_ratio_final,lock_ratio,exposure_bandwidth,q_lt_target_w,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,procurement_cost_w,risk_term_w,trans_cost_w,hedge_error_w,cvar_w,baseline_cost_w,delta_cost_w,tail_penalty_w,reward_budget_w,reward_excess_w,z_delta_cost_w,action_smooth_w,hourly_smooth_w,hedge_error_norm_w,exec_quality_w,reward_raw,reward,hpso_objective_w,avg_adjustment_mwh,mean_bandwidth_mwh,bound_clip_count,smooth_clip_count,soft_clip_count,non_negative_clip_count,cvar_budget_excess,strategy
2026-03-02,False,0.5368496811327237,0.46319885619612966,0.46319885619612977,1.0000485373288535,1.0000485373288535,0.004073961457068403,3578379.926573462,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1395598604.9799824,1617651.7955358825,2148957.504948807,808.4647088480824,2819760.404826062,,,0.0,0.0,0.0,0.0,8.33373781107378,0.021249165446644118,0.03828874424205873,808.4859580135291,-1.0031484096274093,-0.42679932206233034,1398556538.9082894,7.635854948012498,1.0337891277492006,0,0,0,0,0.0,hpso
2026-03-09,False,0.5338797982060696,-1.0181487916516228,-1.0181487916516228,-0.4842689934455532,-0.4842689934455532,0.0,-1507095.7137123765,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1745695377.5475345,4992224.10634435,297539484.87841964,8429.63658899043,7866734.759839328,,,0.0,0.0,0.0,0.0,12.369312756453388,29.71530982473719,0.4501909294171969,8459.351898815166,-1.8429949043815366,-0.6846021682485451,2045732501.6125245,8406.26791990486,0.0,0,0,0,0,0.0,hpso
2026-03-16,True,0.5404818420761452,0.45909071963975295,0.4590907196397529,0.9995725617158981,0.9995725617158981,0.0,2583252.3468784136,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1029283465.9322983,1566420.6891068625,2326123.6348701087,789.1582808030629,2776899.664998259,,,0.0,0.0,0.0,0.0,12.365346293012095,0.17446724770047523,0.036051750578969394,789.3327480507634,-1.0763543422336947,-0.45362253196634345,1032392949.3933775,62.57891705133382,0.0,0,0,0,0,0.0,hpso
2026-03-02,False,0.5368496811327237,0.5262526572273024,0.06315031886727629,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1488543328.279734,2140580.4931730884,257630.84999999998,0.0,3444499.849540265,1444733909.8516793,43809418.42805457,0.0,250950083.34508926,0.0,0.3417410365984195,1.0,0.0,0.0,0.12,-0.5130021920881824,-0.22904637925647217,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-09,False,0.5338797982060696,0.5510016816160868,0.06612020179393041,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1198583043.583182,2156301.545736993,224071.52399999998,0.0,3403387.771444101,1119224647.6187735,79358395.96440864,0.0,199800796.7438325,0.0,0.6546120298440441,1.0,0.0,0.0,0.12,-0.8728038343206507,-0.3771467084672692,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-16,True,0.5404818420761452,0.4959846493654561,0.05951815792385473,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1050667801.2171847,2204406.131486971,186073.70400000006,0.0,3535735.152587975,1045367824.5261635,5299976.691021204,0.0,172648284.676554,0.0,0.0028146280040009706,1.0,0.0,0.0,0.12,-0.12323682220460111,-0.055958219642412745,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-02,False,0.5368496811327237,0.0,0.0,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1488543328.279734,2140580.4931730884,257630.84999999998,0.0,3444499.849540265,1444733909.8516793,43809418.42805457,0.0,250950083.34508926,0.0,0.3417410365984195,1.0,0.0,0.0,0.12,-0.5130021920881824,-0.22904637925647217,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-09,False,0.5338797982060696,0.0,0.0,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1198583043.583182,2156301.545736993,224071.52399999998,0.0,3403387.771444101,1119224647.6187735,79358395.96440864,0.0,199800796.7438325,0.0,0.6546120298440441,1.0,0.0,0.0,0.12,-0.8728038343206507,-0.3771467084672692,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-16,True,0.5404818420761452,0.0,0.0,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1050667801.2171847,2204406.131486971,186073.70400000006,0.0,3535735.152587975,1045367824.5261635,5299976.691021204,0.0,172648284.676554,0.0,0.0028146280040009706,1.0,0.0,0.0,0.12,-0.12323682220460111,-0.055958219642412745,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-02,False,0.5368496811327237,-1.0,-0.5368496811327237,0.1,0.1,0.7,357820.625,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1438113394.5913448,2112286.3675295385,13847234.380159732,2034.312876819488,3397696.6876529455,1444733909.8516793,-6620515.260334492,0.0,250950083.34508926,0.0,-0.10209911116003237,0.8333333333333334,0.9766468097132783,0.09634469457528856,0.19547378980061422,-0.078059811966577,-0.03546685025773404,,2034.312876819488,11432.938204916289,0,168,168,0,0.0,rule_only
2026-03-09,False,0.5338797982060696,-1.0,-0.5338797982060696,0.1,0.1,0.7,311210.45,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1132033478.866404,2222565.7882567495,54377951.1854564,3954.7562053350966,3485812.434305254,1119224647.6187735,12808831.247630596,0.0,199800796.7438325,0.0,0.06890099520994401,0.0,1.0036802259079456,0.21120665795053709,0.11831161650373233,-0.19754776099516794,-0.08955387391523374,,3954.7562053350966,9939.972482722034,11,168,168,0,0.0,rule_only
2026-03-16,True,0.5404818420761452,-1.0,-0.5404818420761452,0.1,0.1,0.7,258435.7,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1142237298.1889596,2707082.310147863,18749682.8086822,2449.5213898630977,4300230.643246817,1045367824.5261635,96869473.66279614,0.0,172648284.676554,0.0,0.8087292127276592,0.0,0.9513925349331216,0.111903449958517,0.09625402378718279,-1.0262926184239909,-0.43536432850052137,,2449.5213898630977,11553.922151714338,1,119,119,0,0.0,rule_only
