variant_name,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
full_model,13674915072.0,1971638948.0,0.0,4068088.55,0.5767563879489899,252.76154449462894,18509967.30625,0.0,10
no_parameter_layout_enhancement,13896713408.0,1749840620.0,0.0,4372981.15,0.5772636711597443,252.76154449462894,-3868046.075,0.0,10
no_policy_projection,13529023744.0,2120666880.0,0.0,4191276.1,0.7011373281478882,0.0,33995997.5,0.0,0
no_state_enhancement,13671939200.0,1974599156.0,0.0,4070001.5,0.5784732937812805,259.1704771128155,18805140.98125,0.0,10
