window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
window_01,window_01_test,1515423488.0,92105888.0,0.0,4110858.5,0.7018654346466064,221.32037526085264,43805800.0,0.0,1
window_02,window_02_test,1546655104.0,555576768.0,0.0,5558275.0,0.705321729183197,335.46949758983794,95434800.0,0.0,1
window_03,window_03_test,1991001344.0,-54451076.0,0.0,4702409.0,0.6951248049736023,299.18360632941835,31874476.0,0.0,1
window_04,window_04_test,1580039424.0,128028040.0,0.0,4220417.0,0.5211434364318848,208.36622660500663,2129429.0,0.0,1
window_05,window_05_test,1367944704.0,236858320.0,0.0,4612287.5,0.5075982809066772,288.76441449210756,4661504.0,0.0,1
window_06,window_06_test,1069588736.0,218766608.0,0.0,3447045.25,0.5231804251670837,256.63965411413284,8392718.0,0.0,1
window_07,window_07_test,1225923200.0,166727520.0,0.0,3269344.0,0.5340940356254578,297.3385862622942,1496898.0,0.0,1
window_08,window_08_test,1358596096.0,166310752.0,0.0,3644874.25,0.5157305598258972,199.2060477393014,480317.0625,0.0,1
window_09,window_09_test,982759680.0,369509728.0,0.0,3457473.75,0.534723162651062,230.79971540541877,2422921.5,0.0,1
window_10,window_10_test,1036983296.0,92206400.0,0.0,3657901.25,0.5287820100784302,190.5273211479187,-5599190.5,0.0,1
