week_start,dynamic_lock_only,fixed_lock,ppo,rule_only
2026-03-02,1487289134.6982782,1487289134.6982782,1430778849.7197278,1438113394.5913448
2026-03-09,1197097714.343957,1197097714.343957,1099073912.4751816,1132033478.866404
2026-03-16,1049932251.2022532,1049932251.2022532,1137461659.7143192,1142237298.1889596
