阶段,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records,cost_savings_vs_fixed_lock,cost_savings_vs_rule_only,cost_gap_vs_dynamic_lock_only
验证集,ppo_validation,3442653650.1711073,860663412.5427768,434273409.43510073,1436830524.4249496,3986.0571003873933,-0.1942948876701427,3986.0571003873933,115600957.0820814,2906518711.085458,2688,,,
回测集_PPO,ppo,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824,,,
回测基准比较,ppo,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824,67004678.33526039,45069749.73748016,-67004678.33526039
回测基准比较,rule_only,3712384171.6467085,1237461390.5489028,141943532.26284024,1438113394.5913448,2812.8634906725606,-0.19086797097786215,2812.8634906725606,86974868.37429833,2274270777.0553637,1824,21934928.597780228,0.0,-21934928.597780228
回测基准比较,fixed_lock,3734319100.2444887,1244773033.4148295,181704820.92617688,1487289134.6982782,19.471632621332336,-0.22025067763702033,19.471632621332336,681717.2298092693,2247029965.5462103,1824,0.0,-21934928.597780228,0.0
回测基准比较,dynamic_lock_only,3734319100.2444887,1244773033.4148295,181704820.92617688,1487289134.6982782,19.471632621332336,-0.22025067763702033,19.471632621332336,681717.2298092693,2247029965.5462103,1824,0.0,-21934928.597780228,0.0
