timesteps,ep_rew_mean,ep_len_mean,loss,value_loss,policy_gradient_loss,entropy_loss
128.0,,,,,,
256.0,,,,,,
384.0,,,0.5861349701881409,3.096155455708504,-0.021781850699335338,-2.8184523820877074
512.0,,,,,,
640.0,,,0.6358885765075684,1.3593057736754417,-0.02471600822173059,-2.83443945646286
768.0,,,,,,
896.0,,,2.6809260845184326,4.5873700201511385,-0.03271268759854138,-2.8228233993053435
1024.0,,,,,,
1152.0,,,0.6140531301498413,2.5146453112363814,-0.025072886515408753,-2.8237141251564024
1280.0,,,,,,
1408.0,,,0.91581130027771,2.2508561581373216,-0.018317411281168462,-2.834739255905151
1536.0,,,,,,
1664.0,,,0.4076547622680664,1.6120831772685051,-0.026314359810203313,-2.823868989944458
1792.0,,,,,,
1920.0,,,0.20389024913311005,1.207818867266178,-0.02014640988782048,-2.80942587852478
2048.0,,,,,,
2176.0,,,0.45083087682724,1.2257287129759789,-0.025900341989472508,-2.7949522972106933
2304.0,,,,,,
2432.0,,,0.4663975238800049,1.2909876093268395,-0.03294561323709786,-2.7789562344551086
2560.0,,,,,,
2688.0,,,0.7531180381774902,1.3094902098178864,-0.028328072652220725,-2.774942994117737
2816.0,,,,,,
2944.0,,,0.4726320505142212,0.8413723833858967,-0.029333502519875765,-2.7686981856822968
3072.0,,,,,,
3200.0,,,0.4894997179508209,1.6889398694038391,-0.03838863370474428,-2.7715584576129912
3328.0,,,,,,
3456.0,,,0.6308509707450867,1.6242922604084016,-0.0244951706379652,-2.754683566093445
3584.0,,,,,,
3712.0,,,0.2952041029930115,1.4397260800004006,-0.02835430223494768,-2.7528499603271483
3840.0,,,,,,
3968.0,,,0.841370701789856,1.8801534444093704,-0.02134890966117382,-2.7563637256622315
4096.0,,,,,,
