variant_name,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
full_model,13732478592.0,1916425568.0,0.0,3143914.975,0.6300582533876877,390.23713413420177,277287.5,0.0,10
no_parameter_layout_enhancement,13732478592.0,1916425568.0,0.0,3143914.975,0.6300582533876877,390.23713413420177,277287.5,0.0,10
no_policy_projection,13752689920.0,1896176238.0,0.0,3148905.75,0.6305339434184134,409.08790782746814,-1519859.4625,0.0,0
no_state_enhancement,13732049280.0,1916858916.0,0.0,3144023.75,0.6301270287134685,388.23566695508504,320721.1,0.0,10
