week_start,is_partial_week,lock_ratio_base,delta_lock_ratio_raw,delta_lock_ratio,lock_ratio_final,lock_ratio,exposure_bandwidth,q_lt_target_w,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,procurement_cost_w,risk_term_w,trans_cost_w,hedge_error_w,cvar_w,baseline_cost_w,delta_cost_w,tail_penalty_w,reward_budget_w,reward_excess_w,z_delta_cost_w,action_smooth_w,hourly_smooth_w,hedge_error_norm_w,exec_quality_w,reward_raw,reward,hpso_param_objective_w,avg_adjustment_mwh,mean_bandwidth_mwh,bound_clip_count,smooth_clip_count,soft_clip_count,non_negative_clip_count,cvar_budget_excess,strategy
2026-03-02,False,0.5368496811327237,0.6815810166349673,-0.4168496811327237,0.12,0.12,0.10373445680207763,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1426707698.28669,2059968.3715927217,6224807.291213513,1269.4748895176713,3325783.288962224,1444733909.8516793,-18026211.56498933,0.0,0.0,0.0,0.0,1.0,0.5399797548702892,0.05960298723388814,1270.0148692725415,-1.0286182239605288,-0.43622066379771146,1434065716.8509579,1389.2781935461098,1749.8640421564462,0,0,0,0,0.0,hpso_param_policy
2026-03-09,False,0.5338797982060696,0.6236972795081349,-0.2938797982060696,0.24,0.24,0.07878004446061809,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1163084252.495888,2037132.9625259917,2530545.700792467,1112.0252175543267,3232248.225408662,1119224647.6187735,43859604.877114534,0.0,0.0,0.0,0.0,1.0,0.376544654286928,0.06003019389263018,1112.4017622086135,-1.096548750933134,-0.46088252368250326,1217173967.249414,822.0787923287564,998.1991899955078,0,0,0,0,0.0,hpso_param_policy
2026-03-16,True,0.5404818420761452,0.7439919561935362,-0.18048184207614526,0.36,0.36,0.1540750255823602,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1023370936.3085642,2119663.902543819,5029955.722261978,1709.286229653434,3410098.441171352,1045367824.5261635,-21996888.217599273,0.0,0.0,0.0,0.0,1.0,0.6190743533153782,0.07936765220842634,1709.9053040067495,-1.0734080738217506,-0.45255824753508644,1029567015.0182726,1394.6117805988845,1911.2873802669678,0,0,0,0,0.0,hpso_param_policy
2026-03-02,False,0.5368496811327237,0.5262526572273024,0.06315031886727629,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1488543328.279734,2140580.4931730884,257630.84999999998,0.0,3444499.849540265,1444733909.8516793,43809418.42805457,0.0,250950083.34508926,0.0,0.3421594613462424,1.0,0.0,0.0,0.12,-0.5134833805481788,-0.2292536162500555,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-09,False,0.5338797982060696,0.5510016816160868,0.06612020179393041,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1198583043.583182,2156301.545736993,224071.52399999998,0.0,3403387.771444101,1119224647.6187735,79358395.96440864,0.0,199800796.7438325,0.0,0.655030454591867,1.0,0.0,0.0,0.12,-0.873285022780647,-0.3773343040743771,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-16,True,0.5404818420761452,0.4959846493654561,0.05951815792385473,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1050667801.2171847,2204406.131486971,186073.70400000006,0.0,3535735.152587975,1045367824.5261635,5299976.691021204,0.0,172648284.676554,0.0,0.00323305275182391,1.0,0.0,0.0,0.12,-0.12371801066459749,-0.056176254108447295,,0.0,0.0,0,0,0,0,0.0,fixed_lock
2026-03-02,False,0.5368496811327237,0.0,0.0,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1488543328.279734,2140580.4931730884,257630.84999999998,0.0,3444499.849540265,1444733909.8516793,43809418.42805457,0.0,250950083.34508926,0.0,0.3421594613462424,1.0,0.0,0.0,0.12,-0.5134833805481788,-0.2292536162500555,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-09,False,0.5338797982060696,0.0,0.0,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1198583043.583182,2156301.545736993,224071.52399999998,0.0,3403387.771444101,1119224647.6187735,79358395.96440864,0.0,199800796.7438325,0.0,0.655030454591867,1.0,0.0,0.0,0.12,-0.873285022780647,-0.3773343040743771,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-16,True,0.5404818420761452,0.0,0.0,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1050667801.2171847,2204406.131486971,186073.70400000006,0.0,3535735.152587975,1045367824.5261635,5299976.691021204,0.0,172648284.676554,0.0,0.00323305275182391,1.0,0.0,0.0,0.12,-0.12371801066459749,-0.056176254108447295,,0.0,0.0,0,0,0,0,0.0,dynamic_lock_only
2026-03-02,False,0.5368496811327237,-1.0,-0.5368496811327237,0.1,0.1,0.7,357820.625,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1438113394.5913448,2112286.3675295385,13847234.380159732,2034.312876819488,3397696.6876529455,1444733909.8516793,-6620515.260334492,0.0,250950083.34508926,0.0,-0.10168068641220943,0.8333333333333334,0.9766468097132783,0.09634469457528856,0.19547378980061422,-0.07854100042657339,-0.03568529545707484,,2034.312876819488,11432.938204916289,0,168,168,0,0.0,rule_only
2026-03-09,False,0.5338797982060696,-1.0,-0.5338797982060696,0.1,0.1,0.7,311210.45,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1132033478.866404,2222565.7882567495,54377951.1854564,3954.7562053350966,3485812.434305254,1119224647.6187735,12808831.247630596,0.0,199800796.7438325,0.0,0.06931941995776694,0.0,1.0036802259079456,0.21120665795053709,0.11831161650373233,-0.1980289494551643,-0.08977083756130573,,3954.7562053350966,9939.972482722034,11,168,168,0,0.0,rule_only
2026-03-16,True,0.5404818420761452,-1.0,-0.5404818420761452,0.1,0.1,0.7,258435.7,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1142237298.1889596,2707082.310147863,18749682.8086822,2449.5213898630977,4300230.643246817,1045367824.5261635,96869473.66279614,0.0,172648284.676554,0.0,0.8091476374754821,0.0,0.9513925349331216,0.111903449958517,0.09625402378718279,-1.0267738068839871,-0.43554157661468873,,2449.5213898630977,11553.922151714338,1,119,119,0,0.0,rule_only
