week_start,hour_index,spot_hedge_mwh,spot_hedge_limit_mwh,strategy,window_name
2026-01-12,0,0.0,443.0868225097656,window_01_test,window_01
2026-01-12,1,-88.61736297607422,443.0868225097656,window_01_test,window_01
2026-01-12,2,-177.23472595214844,443.0868225097656,window_01_test,window_01
2026-01-12,3,-265.8520812988281,443.0868225097656,window_01_test,window_01
2026-01-12,4,-354.4694519042969,443.0868225097656,window_01_test,window_01
2026-01-12,5,-395.12774658203125,443.0868225097656,window_01_test,window_01
2026-01-12,6,-443.0868225097656,443.0868225097656,window_01_test,window_01
2026-01-12,7,-443.0868225097656,443.0868225097656,window_01_test,window_01
2026-01-12,8,-443.0868225097656,443.0868225097656,window_01_test,window_01
2026-01-12,9,-443.0868225097656,443.0868225097656,window_01_test,window_01
2026-01-12,10,-354.4694519042969,443.0868225097656,window_01_test,window_01
2026-01-12,11,-265.8520812988281,443.0868225097656,window_01_test,window_01
2026-01-12,12,-177.23471069335938,443.0868225097656,window_01_test,window_01
2026-01-12,13,-88.61734771728516,443.0868225097656,window_01_test,window_01
2026-01-12,14,1.52587890625e-05,443.0868225097656,window_01_test,window_01
2026-01-12,15,-88.61734771728516,443.0868225097656,window_01_test,window_01
2026-01-12,16,-118.31096649169922,443.0868225097656,window_01_test,window_01
2026-01-12,17,-164.47430419921875,443.0868225097656,window_01_test,window_01
2026-01-12,18,-75.85694122314453,443.0868225097656,window_01_test,window_01
2026-01-12,19,12.760421752929688,443.0868225097656,window_01_test,window_01
2026-01-12,20,101.3777847290039,443.0868225097656,window_01_test,window_01
2026-01-12,21,152.24600219726562,443.0868225097656,window_01_test,window_01
2026-01-12,22,63.628639221191406,443.0868225097656,window_01_test,window_01
2026-01-12,23,-24.988723754882812,443.0868225097656,window_01_test,window_01
2026-01-12,24,-113.60608673095703,443.0868225097656,window_01_test,window_01
2026-01-12,25,-54.457550048828125,443.0868225097656,window_01_test,window_01
2026-01-12,26,0.0,443.0868225097656,window_01_test,window_01
2026-01-12,27,88.61736297607422,443.0868225097656,window_01_test,window_01
2026-01-12,28,177.23472595214844,443.0868225097656,window_01_test,window_01
2026-01-12,29,265.8520812988281,443.0868225097656,window_01_test,window_01
2026-01-12,30,233.5204315185547,443.0868225097656,window_01_test,window_01
2026-01-12,31,321.72735595703125,443.0868225097656,window_01_test,window_01
