window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-271571552.0,1500799104.0,106786048.0,3463053.25
window_02,-91151656.0,2062450816.0,39081800.0,3774660.0
window_03,-78513008.0,2161028352.0,-225034592.0,3533501.0
window_04,-75279104.0,1814834432.0,-106849072.0,3076591.75
window_05,-262662320.0,1266309632.0,338977536.0,3276843.75
window_06,-283878880.0,1014496128.0,274248832.0,2675173.0
window_07,-447286656.0,1131332864.0,261734656.0,2574285.25
window_08,-543551360.0,1322422400.0,202921216.0,2847448.0
window_09,-710197888.0,952445824.0,400217984.0,2810526.5
window_10,-511086816.0,1005325696.0,124177408.0,3053831.25
