#{"t_start": 1776073571.947632, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-10.687056,96,1.035709,951944300.0566908,1666367.2972823246,236188.0346856239,21.18170266355565,2684802.6323472094
-11.840198,96,2.120179,969337569.8047048,1805656.4472178298,236188.0346856239,21.181702663555658,2867106.3330815006
-10.794007,96,3.241155,946739217.600209,1624957.921523016,236188.0346856239,21.181702663555647,2630454.1048013098
-10.362175,96,4.363434,960897311.914731,1737947.1015989997,61128.95238794449,21.18170266355565,2778600.2493039384
-11.242004,96,5.449839,935794102.6099805,1538371.9954434617,24778.90676543319,21.18170266355563,2516468.6253317143
-10.693867,96,6.530762,974374983.6321951,1658356.2044157907,12876194.48001871,1878.5833144077028,2698060.04836309
-9.202333,96,7.601887,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
-9.351672,96,8.660291,935857937.6293669,1538874.9025325791,108249.81789216731,21.18170266355563,2517132.3356537805
-10.426893,96,9.756042,963784312.0961702,1627763.9426871915,9812687.578435563,1633.6245351922116,2639132.791777853
-7.233729,96,10.838093,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
-9.942815,96,11.963086,956069439.0118817,1699296.5839035986,196953.1209414965,21.181702663555658,2727974.2934176167
-9.930498,96,13.018503,979471184.6119596,1721180.4464524917,11391825.95493228,1758.1943708834858,2768432.1268516756
-7.591441,96,14.103664,960922619.8965836,1738149.8726073173,139065.99339440386,21.18170266355565,2778865.6334179426
-6.943778,96,15.212234,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
-5.464811,96,16.30195,1039272813.3206679,1854429.3489076807,23293918.846347425,2385.2005787881167,3002776.0376675287
-6.43389,96,17.361193,965267316.3063834,1772983.5656052306,182572.63989394295,21.18170266355566,2824424.9124644487
-4.666525,96,18.444465,970194536.6330242,1812540.0601622357,236188.0346856239,21.181702663555647,2876092.6435580943
-1.90885,96,19.56504,935455614.2234827,1546580.5886820485,1958624.145683822,695.860165590024,2488140.3129841276
-4.470956,96,20.672686,929095493.7450814,1499584.564601761,181521.35126010526,162.98915540391013,2453432.263849845
-5.307118,96,21.741327,934483718.5968994,1528052.9659355835,146040.4552004002,21.181702663555647,2502844.2009372283
-4.651043,96,22.835475,945732387.7122161,1616958.99284147,160035.80397409617,21.18170266355564,2619941.356471365
-2.978521,96,23.90975,932961874.9331967,1483010.0208761776,4135033.4065440376,1060.0586539304209,2411087.3111107983
-4.977404,96,25.037828,934483718.5968994,1528052.9659355835,174678.83091274128,21.181702663555647,2502844.2009372283
-2.650941,96,26.099058,945871675.0210695,1618065.3607681748,225850.8774211391,21.18170266355564,2621395.715783693
-2.377564,96,27.237575,940251298.799678,1573532.9538037535,158881.58475109778,21.181702663555637,2562811.324793645
-3.209613,96,28.315748,1003272975.5970185,1739925.1581706987,16788456.108688835,2074.3327807556334,2827411.1556592323
-0.548308,96,29.380327,976768054.4971567,1740988.3996859598,8371379.3797962,1506.4070039677483,2768999.5176650626
-3.668026,96,30.450155,948850685.8437507,1641744.6953940103,236188.0346856239,21.18170266355565,2652500.862168914
-4.264766,96,31.557429,945099471.3655435,1611932.61505866,116593.69807833672,21.181702663555637,2613332.8018924547
-0.418138,96,32.652928,935370270.601307,1535033.4583721838,127823.61672359465,21.181702663555647,2512061.926913167
-1.596694,96,33.742305,940474897.2295208,1575299.1894697947,78702.30411693307,21.181702663555637,2565136.1394065437
-0.13409,96,34.855703,934483718.5968994,1528052.9659355835,28438.2092248671,21.181702663555647,2502844.2009372283
-0.803792,96,35.936555,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
-0.876126,96,37.007549,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
0.353039,96,38.093832,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
1.810816,96,39.143304,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
0.194607,96,40.225599,934483718.5968994,1528052.9659355835,50004.64595233726,21.181702663555647,2502844.2009372283
1.602218,96,41.360586,942631534.7188075,1592347.9933539212,236188.0346856239,21.181702663555615,2587564.0030409326
1.448327,96,42.449817,941091449.7687311,1580170.5371656201,236188.0346856239,21.18170266355563,2571546.6063932003
1.458558,96,43.530451,934483718.5968994,1528052.9659355835,151034.55408132897,21.181702663555647,2502844.2009372283
1.036574,96,44.63686,934483718.5968994,1528052.9659355835,88562.40084930288,21.181702663555647,2502844.2009372283
1.064477,96,45.708013,938171592.96132,1557115.6276361917,134100.96091554652,21.181702663555626,2541188.0489640967
1.782056,96,46.786226,946087588.000209,1619780.5138737862,236188.0346856239,21.18170266355564,2623650.1570134675
1.390436,96,47.853525,931462766.1887685,1511670.8526879353,76140.1870648759,96.89536260778576,2474454.4038374107
1.79275,96,49.013752,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
2.383768,96,50.116537,934483718.5968994,1528052.9659355835,173247.38160493897,21.181702663555647,2502844.2009372283
2.690581,96,51.203747,937167001.236031,1549192.3668724752,157601.01889882213,21.181702663555626,2530743.031418175
1.589591,96,52.246368,938632913.563449,1560755.6458882391,236188.0346856239,21.181702663555626,2545984.5266397884
2.500175,96,53.362852,934483718.5968994,1528052.9659355835,107789.1204576366,21.181702663555647,2502844.2009372283
2.472255,96,54.448441,934483718.5968994,1528052.9659355835,127128.62924829053,21.181702663555647,2502844.2009372283
2.14847,96,55.554415,934483718.5968994,1528052.9659355835,23149.598895280833,21.181702663555647,2502844.2009372283
2.653153,96,56.653623,934483718.5968994,1528052.9659355835,21271.009599904926,21.181702663555647,2502844.2009372283
2.782335,96,57.743935,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
2.557507,96,58.823535,934483718.5968994,1528052.9659355835,87015.41419636237,21.181702663555647,2502844.2009372283
2.700552,96,59.914879,934483718.5968994,1528052.9659355835,138991.41757234558,21.181702663555647,2502844.2009372283
2.509298,96,60.982796,934483718.5968994,1528052.9659355835,72874.98043440751,21.181702663555647,2502844.2009372283
2.249932,96,62.052513,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
3.540304,96,63.118307,937381188.4547241,1550881.2756723273,115565.22578162357,21.181702663555626,2532969.9950702153
3.114329,96,64.206243,934483718.5968994,1528052.9659355835,90158.2909033107,21.181702663555647,2502844.2009372283
2.855943,96,65.263624,934483718.5968994,1528052.9659355835,225233.2325643532,21.181702663555647,2502844.2009372283
3.143381,96,66.388049,934483718.5968994,1528052.9659355835,144540.64534250126,21.181702663555647,2502844.2009372283
3.581716,96,67.493998,934483718.5968994,1528052.9659355835,64276.20799059442,21.181702663555647,2502844.2009372283
2.539491,96,68.570315,934483718.5968994,1528052.9659355835,150089.87311265693,21.181702663555647,2502844.2009372283
3.563863,96,69.611159,934483718.5968994,1528052.9659355835,150089.87311265693,21.181702663555647,2502844.2009372283
