#{"t_start": 1776143316.385417, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-10.204378,96,0.988526,951944234.1188455,1666366.9512097496,236188.20699802082,21.182194239403934,2684802.1739797345
-7.754445,96,2.017882,969086482.4985104,1803640.0525080017,236188.20699802082,21.182194239403927,2864473.617162777
-6.599705,96,3.078674,946739190.1021427,1624957.8814010804,236188.20699802082,21.182194239403934,2630454.0478002727
-7.695717,96,4.065403,959444855.809366,1726312.773599852,78188.79425939078,21.182194239403938,2763369.761021714
-7.801787,96,5.044021,936064638.4952309,1540503.6545509838,9551.678373581897,21.182194239403913,2519281.6936015557
-6.59928,96,6.092733,972319658.052299,1653565.6362111233,12586206.73631988,1861.9360711885881,2690538.948772874
-6.096314,96,7.072729,934483691.0988333,1528052.9268358562,90158.4632157076,21.182194239403902,2502844.147005398
-6.940045,96,8.04158,939423031.6735082,1566992.4318018048,79883.62306767295,21.182194239403916,2554199.8347629523
-5.107627,96,9.142156,975219637.6276281,1687654.949988514,11472419.360321898,1775.1169360572162,2725456.1093864604
-1.430891,96,10.12433,934483691.0988333,1528052.9268358562,78612.28614963774,21.182194239403902,2502844.147005398
-4.066166,96,11.173391,958341968.3857608,1717482.1014258715,236188.20699802082,21.182194239403927,2751804.6823258637
-5.321047,96,12.165989,989547142.3569341,1756764.959475332,13922095.088900758,1946.1193244726005,2826440.591893882
-1.996857,96,13.151145,968362266.0958288,1797824.3470133534,229631.9904595639,21.182194239403927,2856879.3518637326
-2.22395,96,14.205186,935854542.8066399,1538848.3344301162,106492.77352004309,21.182194239403913,2517097.2707176977
-2.372422,96,15.222068,1049413045.936394,1912092.7789760798,24247862.682001136,2442.2011703990656,3079865.8855922185
-4.913466,96,16.202728,965806493.0159497,1777309.7294439748,236188.20699802082,21.182194239403927,2830079.0491629206
-0.541876,96,17.253125,972372651.175583,1830073.9480632115,236188.20699802082,21.182194239403934,2898995.37472964
1.686353,96,18.220131,994750887.9583827,1775930.7712819562,14723862.259828527,1996.8377632254123,2854905.6464044247
0.696703,96,19.274914,963101500.7025614,1614909.1576391053,10389932.027019894,1694.232731043095,2626935.8359890343
-0.946172,96,20.2518,922097566.4264243,1454475.5074809648,1028335.2536782224,506.1458798881634,2372005.4555477765
-3.796782,96,21.22756,951926695.9695694,1666227.2740400583,236188.20699802082,21.182194239403934,2684619.0505427867
0.172122,96,22.312782,964723621.5968878,1621762.633024158,10801219.36094135,1723.5362281394107,2638199.8075007503
1.725301,96,23.283491,934483691.0988333,1528052.9268358562,206598.79984890163,21.182194239403902,2502844.147005398
2.134083,96,24.246383,962359257.2082987,1649448.317086922,7717892.308768067,1438.5882098119441,2647604.07343249
1.031643,96,25.307646,948446848.4648215,1638533.0388523361,236188.20699802082,21.182194239403945,2648284.450745658
3.563624,96,26.293789,1047348786.200125,1903483.657289466,23903726.52073283,2426.1380408093887,3067492.481458013
0.315246,96,27.349315,1148618142.4840128,2335048.026664315,40023967.00020101,3023.103804993328,3692478.820858431
0.776742,96,28.324918,982041831.0290313,1756977.5804305058,9987518.2536381,1643.3499457354342,2799312.815552407
-0.283507,96,29.340939,960387337.6925604,1733861.64852285,202907.82007644116,21.182194239403934,2773252.797962081
6.222114,96,30.389106,951605790.8838146,1663671.6977918758,59952.43940258467,21.182194239403934,2681268.3411085773
3.325538,96,31.386154,957288461.458241,1709049.891541706,107507.34484944714,21.182194239403934,2740757.4165192023
4.724863,96,32.371886,934483691.0988333,1528052.9268358562,150090.04542505383,21.182194239403902,2502844.147005398
4.312532,96,33.420393,934483691.0988333,1528052.9268358562,90158.4632157076,21.182194239403902,2502844.147005398
4.32816,96,34.391476,943340070.9322027,1597968.3897776757,160630.50466998675,21.182194239403916,2594962.3676234824
3.807196,96,35.436129,946136718.8228617,1620170.9980042884,205830.34237451706,21.182194239403927,2624163.383398438
5.26416,96,36.460762,983198262.920217,1700333.3114468358,14382350.379891116,1983.0052520800552,2758535.4279482276
4.685753,96,37.427106,948297995.2181486,1637349.30877173,78525.01823935368,21.182194239403945,2646730.2093201415
5.333577,96,38.48644,946091877.474992,1619814.7683300134,209691.19754143385,21.182194239403927,2623695.1754016816
4.489693,96,39.470426,946411146.5637428,1622351.2747937767,236188.20699802082,21.182194239403934,2627028.802680326
4.233351,96,40.456489,967983518.022574,1647439.4753981556,10590977.090928834,1704.3057591878653,2668510.6018833993
7.349266,96,41.50866,934483691.0988333,1528052.9268358562,150090.04542505383,21.182194239403902,2502844.147005398
5.730066,96,42.482104,946739190.1021427,1624957.8814010804,236188.20699802082,21.182194239403934,2630454.0478002727
5.384937,96,43.568958,952209228.1481895,1668477.5329988622,171010.33640090222,21.182194239403934,2687569.0917805047
4.095589,96,44.541459,1027017523.665833,1885369.1224601076,18498050.15905808,2170.0018549561173,3018923.06512248
5.343066,96,45.514363,940685833.7746587,1576965.7830142311,120226.45154703411,21.182194239403916,2567329.5368812433
3.99583,96,46.566308,944568035.0614326,1607713.5051624468,150523.8612469536,21.182194239403927,2607784.074649414
5.129564,96,47.545368,959443127.1724937,1726298.9300999742,27960.11876205535,21.182194239403938,2763351.63422016
2.334313,96,48.519726,946739196.4447063,1624957.9318023566,236188.20699802082,21.182194239403934,2630454.114025735
8.047693,96,49.560302,955001665.1532326,1690757.2388897971,105701.98050863382,21.182194239403927,2716777.653342332
