#{"t_start": 1776147947.336152, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-9.364589,96,1.115696,951944446.1724668,1666366.321805949,236185.9784309405,21.175827534670454,2684801.40975672
-10.605715,96,2.13277,969195171.6091326,1804510.6097660935,236185.9784309405,21.175827534670457,2865610.356373012
-10.295686,96,3.154621,946739546.3049362,1624958.4025233274,236185.9784309405,21.175827534670436,2630454.7887013974
-9.891777,96,4.186389,960561462.2627776,1735254.2251032083,61169.79724498506,21.175827534670454,2775075.705337369
-10.040933,96,5.23155,935480648.550006,1535900.7021814587,27905.620138177568,21.1758275346704,2513206.7863934976
-10.244048,96,6.304236,985444065.8276622,1690663.9638587453,10850232.938328968,1618.733657997412,2752402.1823717295
-9.476161,96,7.354587,934484047.3016267,1528053.4346665402,90156.23464862729,21.175827534670393,2502844.8480422567
-9.378312,96,8.474354,936902921.150495,1547108.217671265,110799.9346438051,21.17582753467041,2527994.547324855
-10.788875,96,9.546419,977521422.0809568,1684345.5460379752,8964673.757744398,1481.464822662858,2731385.1079107667
-7.044935,96,10.592305,934484047.3016267,1528053.4346665402,79501.03486949527,21.175827534670393,2502844.8480422567
-9.658874,96,11.613629,958907938.0645988,1722011.0017917275,208357.40606816264,21.175827534670454,2757736.548984566
-9.702649,96,12.608991,992396953.5099458,1765427.5335268048,10090360.37845441,1555.1238820377282,2844131.712176691
-7.161613,96,13.638387,963707902.5345302,1760473.5373941294,154799.82124963228,21.175827534670457,2808069.851952679
-7.753712,96,14.658567,934484047.3016267,1528053.4346665402,89770.8048134091,21.175827534670393,2502844.8480422567
-6.942203,96,15.715842,1061302176.618268,1958191.1792527814,22775947.32324396,2239.4491179873994,3166189.27545458
-7.571459,96,16.710996,967855717.6986463,1793754.9095234268,218046.37928213,21.175827534670464,2851564.5983448704
-5.946097,96,17.802974,972879643.6686932,1834160.2177134186,236185.9784309405,21.175827534670454,2904335.3373612496
-2.860361,96,18.82042,964405229.4506726,1689262.4009973467,6568514.115316531,1312.8776972713665,2717763.5242558336
