#{"t_start": 1776150506.460105, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-9.310837,96,0.99835,951944510.8373135,1666367.4788964111,236186.59520576833,21.177591528014702,2684802.9097098336
-10.872224,96,2.038375,969086739.9970889,1803640.4219021127,236186.59520576833,21.177591528014702,2864474.151976477
-9.928306,96,3.081058,946739447.6007212,1624958.257816535,236186.59520576833,21.177591528014712,2630454.5828471533
-9.812866,96,4.082627,959665822.4117812,1728080.7223769845,50211.77126286501,21.177591528014712,2765684.691756638
-10.488253,96,5.158863,936181531.1251575,1541423.0686649142,38036.27193816896,21.177591528014702,2520494.8875185847
-10.048067,96,6.218535,979227846.6391973,1665201.0327919046,10371663.968587944,1607.1138137887947,2710447.4702118486
-9.311862,96,7.248042,934483948.5974119,1528053.2936537901,70521.57160951877,21.1775915280147,2502844.6532576424
-9.558041,96,8.250394,940218490.9631314,1573272.3272144906,111362.92629715642,21.1775915280147,2562468.27360007
-10.894897,96,9.362503,981483091.6357285,1710756.5938005112,9638900.127482258,1556.2068520786659,2764297.6177793425
-7.57232,96,10.356534,934483948.5974119,1528053.2936537901,41143.9400991478,21.1775915280147,2502844.6532576424
-10.386957,96,11.405278,963432210.031847,1758263.4886083181,236186.59520576833,21.17759152801471,2805179.7193477154
-10.735878,96,12.400682,992122098.222493,1769312.6582352617,10347367.898256028,1596.6980537961838,2844870.539898796
-8.129756,96,13.403223,968851306.9136562,1801749.691495531,171902.15447462423,21.177591528014702,2862005.3577194847
-8.139668,96,14.449053,935193503.8695364,1533639.8413846442,85281.78463471463,21.177591528014702,2510222.0953374207
-8.523252,96,15.455682,1046779641.3845863,1925431.0318028405,20389212.170085523,2157.3634843661293,3106338.5823816424
-9.783138,96,16.498158,971079458.1526291,1819648.2871780505,236186.59520576833,21.17759152801471,2885370.158036769
-7.162007,96,17.550554,973178697.3504465,1836572.8191330875,220044.6264487865,21.177591528014702,2907487.7696571527
-4.131205,96,18.54832,998626788.902966,1796004.97046526,11053075.146575412,1640.9661511922848,2884396.70038428
-7.049275,96,19.592752,939530428.1924948,1515448.2719321777,4569039.36191256,1109.1143179856508,2465716.5497135944
-7.948554,96,20.599597,934483948.5974119,1528053.2936537901,150586.19462320348,21.1775915280147,2502844.6532576424
-8.158996,96,21.596884,955119731.7340171,1691699.6277938131,233971.79345924713,21.177591528014702,2718013.555680982
-5.724432,96,22.639647,947858711.4761901,1562397.937202489,6229341.492073107,1297.9368192820104,2544182.8624635045
-6.650343,96,23.689638,935153911.0956812,1533328.048434283,236186.59520576833,21.177591528014702,2509810.438335675
-6.873922,96,24.682359,949584789.8881376,1604935.539728184,3618215.1304337685,961.2059640955538,2569436.528035226
-6.199523,96,25.739759,950631258.6335471,1655911.2230713195,191556.59814394437,21.177591528014702,2671090.6728398437
-6.230999,96,26.740288,1044592998.952314,1916044.0198918483,20059347.075918257,2145.2965911967776,3092702.8920777077
-5.027748,96,27.79087,1087758830.173111,2169438.5436152946,23033467.79329807,2267.6192856749244,3435724.7425282
