#{"t_start": 1776138982.426395, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-13.087005,96,1.114175,1675795566.967657,2130919.35479466,281653.80369185813,20.752399935543085,3630537.7610964114
-12.294542,96,2.22583,1685657765.2742958,2154074.43258298,128709.17395069181,20.752399935543075,3662752.2166726217
-11.261776,96,3.449391,1660008091.147988,2094433.591228126,209353.42793320777,20.752399935543075,3579747.7595332735
-12.596885,96,4.55268,1663494500.2611752,2102381.811190015,147609.76214888008,20.752399935543085,3590788.39333
-10.176865,96,5.638085,1627636683.5994396,2022237.8407373948,239157.94453387425,20.752399935543103,3479152.9286303995
-9.568178,96,6.883136,1672081781.1427972,2210290.361048762,14803657.932462448,2012.1850355090205,3802747.7711908985
-10.993912,96,8.021527,1626336331.516928,2019397.2482626745,115171.87685706474,20.752399935543103,3475178.0571538555
-13.294389,96,9.099698,1638610436.6129289,2046295.3096305951,281653.8036918583,20.75239993554308,3512697.1190312826
-11.767455,96,10.278052,1712904764.0491652,2323619.6161117246,16689076.920410847,2123.9328840553117,3977019.2556854743
-8.398451,96,11.41785,1626336331.516928,2019397.2482626745,141301.30833338207,20.752399935543103,3475178.0571538555
-8.951342,96,12.640182,1674295949.3840592,2127407.7755398946,118672.77860693895,20.752399935543085,3625642.3588141287
-11.030061,96,13.800644,1714209715.6025782,2320916.5047338125,14848885.924617816,2004.1332859895458,3964797.1623646747
-8.088175,96,14.921198,1682341935.3518848,2146272.94096141,44391.41115526796,20.752399935543085,3651907.947122051
-5.774027,96,16.061836,1630103682.007988,2027632.966634144,155075.49543119143,20.752399935543092,3486693.9644303937
-7.956366,96,17.224842,1808854585.0038192,2559168.684643792,40176460.79604763,3392.028038327607,4362458.865650275
-9.018667,96,18.30948,1685003903.1271513,2152528.4879837525,146899.32891682463,20.752399935543085,3660600.250403803
-7.215768,96,19.497083,1685657765.2742958,2154074.43258298,42099.46577260524,20.752399935543075,3662752.2166726217
-6.190658,96,20.585775,1778784213.614306,2494347.537791317,28638388.753159925,2828.9081424255155,4256842.6912611285
-6.020843,96,21.722038,1629730482.3989134,2061225.659061208,7195899.888187022,1405.89918066211,3539713.473435619
-8.669647,96,22.896785,1628044100.6419241,2023128.2876273377,281653.8036918583,20.752399935543103,3480398.307019075
