scenario_group,scenario_name,scenario_value,total_profit,mean_cvar99,robustness_rank
contract_ratio_shift,contract_ratio_shift_+0.00,0.0,1927150576.0,3146760.3,4.0
forecast_error_scale,forecast_error_scale_1.00,1.0,1927150576.0,3146760.3,4.0
policy_cutoff,policy_cutoff_2026-01-01,2026-01-01,1927150576.0,3146760.3,4.0
forecast_error_scale,forecast_error_scale_0.80,0.8,1652725467.52,2517408.24,5.0
policy_cutoff,policy_cutoff_2026-02-01,2026-02-01,1810774400.0,2942152.1785714286,5.0
contract_ratio_shift,contract_ratio_shift_+0.10,0.1,1858544298.88,3304098.3150000004,6.0
contract_ratio_shift,contract_ratio_shift_-0.10,-0.1,1858544298.88,3304098.3150000004,6.0
forecast_error_scale,forecast_error_scale_1.20,1.2,1652725467.52,3776112.3600000003,9.0
