window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-216814672.0,1500799104.0,106786048.0,3463053.25
window_02,-332306496.0,2051537920.0,49493616.0,3802327.25
window_03,-331019936.0,1976529152.0,-39903488.0,3607157.25
window_04,-333963648.0,1500056704.0,208496768.0,3356957.5
window_05,-214496880.0,1266309632.0,338977536.0,3276843.75
window_06,-195943840.0,1014496128.0,274248832.0,2675173.0
window_07,-250933056.0,1131332864.0,261734656.0,2574285.25
window_08,-412010080.0,1322422400.0,202921216.0,2847448.0
window_09,-359194560.0,952445824.0,400217984.0,2810526.5
window_10,-372858400.0,1005325696.0,124177408.0,3053831.25
