iteration,best_score,temperature,stagnated,bp_steps,bp_loss_before,bp_loss_after,bp_grad_norm_mean,bp_improved_particles
0,1500113652.0848472,1.0,False,0,,,0.0,0
1,1500113652.0848472,0.96,False,0,,,0.0,0
2,1496091008.4512756,0.9216,False,0,,,0.0,0
3,1495365065.6465921,0.8847359999999999,False,0,,,0.0,0
4,1493491519.807934,0.8493465599999999,False,0,,,0.0,0
5,1493146851.4228427,0.8153726975999999,False,0,,,0.0,0
6,1488132609.405948,0.7827577896959999,False,0,,,0.0,0
7,1487096964.270155,0.7514474781081598,False,0,,,0.0,0
8,1485193050.6447487,0.7213895789838334,False,0,,,0.0,0
9,1483740135.931652,0.69253399582448,False,0,,,0.0,0
10,1482939819.3205483,0.6648326359915008,False,0,,,0.0,0
11,1482105498.5511515,0.6382393305518408,False,0,,,0.0,0
12,1480690387.8492992,0.6127097573297671,False,0,,,0.0,0
13,1478505172.8185952,0.5882013670365764,False,0,,,0.0,0
14,1478505172.8185952,0.5646733123551133,False,0,,,0.0,0
15,1478329598.017702,0.5420863798609088,False,0,,,0.0,0
16,1478096243.7937791,0.5204029246664724,False,0,,,0.0,0
17,1478040350.8507836,0.49958680767981345,False,0,,,0.0,0
18,1477490436.2021427,0.4796033353726209,False,0,,,0.0,0
19,1477340758.6772954,0.4604192019577161,False,0,,,0.0,0
20,1477045259.1644716,0.4420024338794074,False,0,,,0.0,0
21,1476926885.3233306,0.42432233652423107,False,0,,,0.0,0
22,1476524248.9404266,0.4073494430632618,False,0,,,0.0,0
23,1476396852.8951304,0.3910554653407313,False,0,,,0.0,0
24,1476270837.575508,0.3754132467271021,False,0,,,0.0,0
25,1475965913.2481973,0.360396716858018,False,0,,,0.0,0
26,1475542882.698021,0.34598084818369723,False,0,,,0.0,0
27,1474874800.9643066,0.33214161425634936,False,0,,,0.0,0
28,1474467617.655164,0.3188559496860954,False,0,,,0.0,0
29,1474001294.29999,0.3061017116986515,False,0,,,0.0,0
30,1473118196.6328642,0.29385764323070546,False,0,,,0.0,0
31,1472235920.652425,0.28210333750147726,False,0,,,0.0,0
32,1471856551.3441238,0.2708192040014181,False,0,,,0.0,0
33,1471251040.0893993,0.2599864358413614,False,0,,,0.0,0
34,1470847380.665041,0.24958697840770694,False,0,,,0.0,0
35,1470847380.665041,0.23960349927139865,False,0,,,0.0,0
36,1470776216.1573699,0.23001935930054268,False,0,,,0.0,0
37,1470762077.9384315,0.22081858492852097,False,0,,,0.0,0
38,1470622940.401783,0.21198584153138014,False,0,,,0.0,0
39,1470601394.937663,0.20350640787012492,False,0,,,0.0,0
40,1470418633.8600514,0.19536615155531992,False,0,,,0.0,0
41,1470418633.8600514,0.18755150549310712,False,0,,,0.0,0
42,1470408206.2734318,0.18004944527338282,False,0,,,0.0,0
43,1470408206.2734318,0.1728474674624475,False,0,,,0.0,0
44,1470380389.60089,0.1659335687639496,False,0,,,0.0,0
45,1470380389.60089,0.1592962260133916,False,0,,,0.0,0
46,1470262969.864177,0.15292437697285594,False,0,,,0.0,0
47,1470262969.864177,0.1468074018939417,False,0,,,0.0,0
48,1470262969.864177,0.14093510581818403,False,0,,,0.0,0
49,1470262969.864177,0.13529770158545665,False,0,,,0.0,0
50,1470262969.864177,0.12988579352203838,False,0,,,0.0,0
51,1470262969.864177,0.12469036178115685,False,0,,,0.0,0
52,1470262969.864177,0.11970274730991057,False,0,,,0.0,0
53,1470262969.864177,0.11491463741751413,False,0,,,0.0,0
54,1470262969.864177,0.11031805192081356,False,0,,,0.0,0
55,1470262969.864177,0.10590532984398102,False,0,,,0.0,0
56,1470262969.864177,0.10166911665022178,True,0,,,0.0,0
57,1470262969.864177,0.0976023519842129,True,0,,,0.0,0
58,1470262969.864177,0.09369825790484439,True,0,,,0.0,0
59,1470262969.864177,0.0899503275886506,True,0,,,0.0,0
60,1470262969.864177,0.08635231448510458,True,0,,,0.0,0
61,1470262969.864177,0.08289822190570038,True,0,,,0.0,0
62,1470262969.864177,0.07958229302947237,True,0,,,0.0,0
63,1470262969.864177,0.07639900130829347,True,0,,,0.0,0
64,1470262969.864177,0.07334304125596174,True,0,,,0.0,0
65,1470262969.864177,0.07040931960572326,True,0,,,0.0,0
66,1470262969.864177,0.06759294682149433,True,0,,,0.0,0
67,1470222649.8258317,0.06488922894863455,True,0,,,0.0,0
68,1470193240.1221097,0.06229365979068917,False,0,,,0.0,0
69,1470082618.1035976,0.0598019133990616,False,0,,,0.0,0
70,1470082618.1035976,0.05740983686309913,False,0,,,0.0,0
71,1470082618.1035976,0.05511344338857516,False,0,,,0.0,0
72,1470070062.3095539,0.052908905653032155,False,0,,,0.0,0
73,1470070062.3095539,0.05079254942691087,False,0,,,0.0,0
74,1470070062.3095539,0.04876084744983443,False,0,,,0.0,0
75,1470070062.3095539,0.046810413551841054,False,0,,,0.0,0
76,1470070062.3095539,0.04493799700976741,False,0,,,0.0,0
77,1470070062.3095539,0.043140477129376714,False,0,,,0.0,0
78,1470066227.6109478,0.04141485804420164,False,0,,,0.0,0
79,1470066227.6109478,0.03975826372243357,False,0,,,0.0,0
80,1470041029.4410439,0.03816793317353623,False,0,,,0.0,0
