阶段,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records,cost_savings_vs_fixed_lock,cost_savings_vs_rule_only,cost_gap_vs_dynamic_lock_only
验证集,hpso_param_policy_validation,5238631996.681099,1309657999.1702747,132876189.38988213,1511253145.9135866,1624.235463280064,-0.5289951124452145,1434.0059357832831,27823216.572387256,3727378850.7675123,2688,,,
回测集_HPSO_PARAM_POLICY,hpso_param_policy,3613162887.091142,1204387629.0303807,167231601.03204656,1426707698.28669,1363.5954455751441,-0.44988714500510035,1201.9895888245835,13785308.71426796,2186455188.804452,1824,,,
回测基准比较,hpso_param_policy,3613162887.091142,1204387629.0303807,167231601.03204656,1426707698.28669,1363.5954455751441,-0.44988714500510035,1201.9895888245835,13785308.71426796,2186455188.804452,1824,124631285.98895836,99221284.55556631,-124631285.98895836
回测基准比较,rule_only,3712384171.6467085,1237461390.5489028,141943532.26284024,1438113394.5913448,2812.8634906725606,-0.18699923654435643,2812.8634906725606,86974868.37429833,2274270777.0553637,1824,25410001.433392048,0.0,-25410001.433392048
回测基准比较,fixed_lock,3737794173.0801005,1245931391.0267003,181870180.4480335,1488543328.279734,0.0,-0.22092139147762666,0.0,667776.078,2249250844.8003664,1824,0.0,-25410001.433392048,0.0
回测基准比较,dynamic_lock_only,3737794173.0801005,1245931391.0267003,181870180.4480335,1488543328.279734,0.0,-0.22092139147762666,0.0,667776.078,2249250844.8003664,1824,0.0,-25410001.433392048,0.0
