parameter_index,value
0,0.9850959746883309
1,1.0
2,-0.9768639131673106
3,-1.0
4,0.994273480195044
5,0.9783041294677255
6,0.6719704141677691
7,0.9785556237612111
8,-0.6020209491778636
9,-0.9595634388437224
10,0.6153706622947633
11,0.9445262495662765
12,-0.988042791461012
13,-0.9976292267844457
14,0.9901715296571132
15,-1.0
16,-0.6326557530392469
17,-0.976333495786347
18,-0.9567244388957152
19,1.0
20,0.9149621381879155
21,-0.8453327817093956
22,-1.0
23,-1.0
24,-0.4334131823169818
25,0.21699970684026987
26,0.4091869913061014
27,-0.8934685015132137
28,-0.3371689397596927
29,-0.9740883913847713
30,0.7953082379449636
31,-1.0
32,-0.997974812210328
33,0.9024415614117512
34,-1.0
35,-0.8900548223640894
36,-0.9950795202847822
37,-0.9971271712841452
38,-0.9977426292035751
39,0.9771547466608632
40,-0.9978410996085839
41,0.9551022405087259
42,-0.995772524425658
43,0.997693889958597
44,-0.06977445085260094
45,0.9904801767869634
46,-0.9975916242493683
47,1.0
48,0.9700574071579787
49,-1.0
50,-0.4907440525533561
51,0.9953759987417254
52,1.0
53,-0.12581917760081393
54,-0.9583830592745656
55,-0.9679719287087855
56,-1.0
57,-0.6777341977982875
58,0.9920697966166707
59,-0.6653392597452377
60,0.4470898113418032
61,-0.9342160931895431
62,-0.9974412817866425
63,-0.4961229200695371
