hour,省调负荷_日前,新能源负荷-总加_日前,新能源负荷-光伏_日前,新能源负荷-风电_日前,联络线总加_日前,非市场化机组出力_日前,水电出力_日前,全网总出力_日前,全网统一出清价格_日前,省调负荷_日内,新能源负荷-总加_日内,新能源负荷-光伏_日内,新能源负荷-风电_日内,联络线总加_日内,非市场化机组出力_日内,水电出力_日内,全网总出力_日内,全网统一出清价格_日内,net_load_da,net_load_id,price_spread,load_dev,wind_dev,solar_dev,renewable_ratio_da,renewable_ratio_id,renewable_dev,net_load_da_mwh,net_load_id_mwh,week_start,week_end,hour_index_in_week,q_lt_hourly,spot_need,q_base,bandwidth_mwh,delta_q_target,delta_q_after_smoothing,smoothing_mode,lower_band,upper_band,q_spot_raw,q_spot_band_clipped,q_spot,delta_q,a_t,signal_spread,signal_load_dev,signal_renewable_dev,signal_composite,clipped_by_bound,clipped_non_negative,soft_clipped,hedge_error_abs,strategy
2026-03-02 00:00:00,23167.25,5447.5,0.0,5447.5,6195.5,6540.8925,4285.25,10776.25,187.62225,23328.25,5476.4775,0.0,5476.4775,5944.0675,6789.5325,4650.98,17383.85,187.4505,17719.75,17851.7725,-0.17174999999998875,132.02250000000095,28.977499999999964,0.0,0.235541544882983,0.2352112095170047,28.977499999999964,4429.9375,4462.943125,2026-03-02,2026-03-08 23:00:00,0,2134.6178710670492,15585.13212893295,15585.13212893295,1455.0436940251204,-420.0,-420.0,causal_param_policy,14130.08843490783,17040.17582295807,15165.13212893295,15165.13212893295,15165.13212893295,-420.0,-0.2886511255467143,0.0,0.0,0.0,0.0,0,0,0,552.0224999999991,hpso_param_policy
2026-03-02 01:00:00,20844.25,5279.0,0.0,5279.0,5414.0,5624.2074999999995,3526.0,10016.25,62.54075,20941.25,4706.1625,0.0,4706.1625,5431.325000000001,6037.23,3977.76,15510.0,24.138,15565.25,16235.0875,-38.40275,669.8374999999996,-572.8374999999999,0.0,0.2535767099238709,0.22463116781655604,-572.8374999999999,3891.3125,4058.771875,2026-03-02,2026-03-08 23:00:00,1,1962.24878503226,13603.00121496774,13603.00121496774,1269.9899477214126,-798.4448607878803,-798.4448607878803,causal_param_policy,12333.011267246327,14872.991162689153,12804.55635417986,12804.55635417986,12804.55635417986,-798.4448607878803,-0.6287017170651091,-0.0017174999999998875,0.13202250000000096,0.028977499999999965,0.053094166666667005,0,0,0,1468.28236078788,hpso_param_policy
2026-03-02 02:00:00,19049.0,5288.5,0.0,5288.5,4772.75,5102.49,3039.75,9503.5,0.0,19042.25,4152.68,0.0,4152.68,4800.639999999999,5292.13,3497.0699999999997,14241.65,0.0,13760.5,14889.57,0.0,1129.0700000000002,-1135.8200000000002,0.0,0.27777722855202214,0.21807133642750118,-1135.8200000000002,3440.125,3722.3925,2026-03-02,2026-03-08 23:00:00,2,1795.0769541535078,11965.423045846492,11965.423045846492,1117.1039940611524,-391.8489238687666,-391.8489238687666,causal_param_policy,10848.31905178534,13082.527039907643,11573.574121977725,11573.574121977725,11573.574121977725,-391.8489238687671,-0.35077210891013655,-0.38402749999999997,0.6698374999999996,-0.5728374999999999,-0.0956758333333334,0,0,0,1520.9189238687668,hpso_param_policy
2026-03-02 03:00:00,17974.5,5308.75,0.0,5308.75,4798.0,4881.0425,2778.25,8378.5,0.0,18107.0,4091.5499999999997,0.0,4091.5499999999997,4915.5325,4447.58,3137.8225,13191.3,0.0,12665.75,14015.45,0.0,1349.6999999999998,-1217.2,0.0,0.295399243758328,0.2260233407170402,-1217.2,3166.4375,3503.8625,2026-03-02,2026-03-08 23:00:00,3,1700.4111277773704,10965.33887222263,10965.33887222263,1023.7351244046489,28.151076131233424,28.151076131233424,causal_param_policy,9941.60374781798,11989.07399662728,10993.489948353863,10993.489948353863,10993.489948353863,28.151076131232912,0.027498398228354346,0.0,1.0,-1.0,0.0,0,0,0,1321.5489238687678,hpso_param_policy
2026-03-02 04:00:00,17413.25,5344.5,0.0,5344.5,4834.5,4240.6225,2211.25,7744.25,0.0,17386.5,4311.99,0.0,4311.99,4927.465,3579.1925,2717.0699999999997,12459.175,0.0,12068.75,13074.509999999998,0.0,1005.7599999999993,-1032.5099999999998,0.0,0.30693456127055935,0.2480548337420946,-1032.5099999999998,3017.1875,3268.6274999999996,2026-03-02,2026-03-08 23:00:00,4,1656.2826367388273,10412.467363261172,10412.467363261172,972.1184813075333,-391.8489238687666,-391.8489238687666,causal_param_policy,9440.34888195364,11384.585844568704,10020.618439392405,10020.618439392405,10020.618439392405,-391.8489238687671,-0.40308761884839034,0.0,1.0,-1.0,0.0,0,0,0,1397.6089238687655,hpso_param_policy
2026-03-02 05:00:00,17515.5,5382.75,0.0,5382.75,4862.0,4098.594999999999,2095.25,7791.5,0.0,17454.5,4344.3325,0.0,4344.3325,5006.5675,3458.5625,2602.795,12447.800000000001,0.0,12132.75,13110.1675,0.0,977.4174999999996,-1038.4175,0.0,0.3073352005407402,0.2488999839018776,-1038.4175,3033.1875,3277.541875,2026-03-02,2026-03-08 23:00:00,5,1690.3080912402534,10442.441908759747,10442.441908759747,974.9169351831988,28.151076131233424,28.151076131233424,causal_param_policy,9467.524973576548,11417.358843942946,10470.59298489098,10470.59298489098,10470.59298489098,28.151076131232912,0.028875358623186683,0.0,1.0,-1.0,0.0,0,0,0,949.2664238687667,hpso_param_policy
2026-03-02 06:00:00,18109.75,5381.25,0.25,5381.0,5067.25,4230.922500000001,2234.75,7975.25,0.0,17804.5,3616.18,0.0,3616.18,5132.5599999999995,4438.7474999999995,2582.745,12672.025000000001,0.0,12728.5,14188.32,0.0,1459.8200000000002,-1764.8200000000002,-0.25,0.29725680564643264,0.20353944841969754,-1765.0700000000002,3182.125,3547.08,2026-03-02,2026-03-08 23:00:00,6,2046.2875554311963,10682.212444568804,10682.212444568804,997.3021548435647,-391.8489238687666,-391.8489238687666,causal_param_policy,9684.91028972524,11679.514599412369,10290.363520700037,10290.363520700037,10290.363520700037,-391.8489238687671,-0.39290893132606525,0.0,0.9774174999999996,-1.0,-0.007527500000000131,0,0,0,1851.6689238687668,hpso_param_policy
2026-03-02 07:00:00,21169.25,5466.75,88.75,5378.0,5885.25,5012.2675,2869.0,9398.75,0.0,20804.25,4294.7775,88.3475,4206.43,5958.1825,5688.8425,3530.2375,14846.0,183.35025000000002,15702.5,16509.4725,183.35025000000002,806.9724999999999,-1171.5700000000002,-0.40249999999999986,0.25903322829334435,0.20532876833592498,-1171.9725,3925.625,4127.368125,2026-03-02,2026-03-08 23:00:00,7,2484.227416561428,13218.272583438571,13218.272583438571,1234.071293674316,28.151076131233424,28.151076131233424,causal_param_policy,11984.201289764254,14452.343877112888,13246.423659569804,13246.423659569804,13246.423659569804,28.151076131232912,0.02281154765979207,0.0,1.0,-1.0,0.0,0,0,0,778.8214238687669,hpso_param_policy
2026-03-02 08:00:00,26390.25,5945.75,579.5,5366.25,6740.5,7941.865,5433.0,12909.25,86.1465,26207.5,6047.7075,700.6324999999999,5347.075,7000.9,8320.7625,5658.1325,19206.75,334.8,20444.5,20159.7925,248.6535,-284.7074999999995,-19.174999999999955,121.1325,0.22542129104641614,0.2310548236680639,101.95750000000004,5111.125,5039.948125,2026-03-02,2026-03-08 23:00:00,8,3169.7455045632346,17274.754495436766,17274.754495436766,1612.7885465760432,193.17891153991556,193.17891153991556,causal_param_policy,15661.965948860723,18887.54304201281,17467.93340697668,17467.93340697668,17467.93340697668,193.17891153991513,0.11977944160754041,1.0,0.8069724999999999,-1.0,0.2689908333333333,0,0,0,477.88641153991557,hpso_param_policy
2026-03-02 09:00:00,28833.5,6694.25,1378.5,5315.75,6949.75,9317.64,6288.75,14934.0,383.46999999999997,28956.0,6967.094999999999,1512.605,5454.49,6985.57,8945.66,5955.625,21970.225,454.116,22139.25,21988.905,70.64600000000002,-150.34500000000025,138.73999999999978,134.10499999999996,0.23211409494791385,0.24055143133731705,272.84499999999974,5534.8125,5497.22625,2026-03-02,2026-03-08 23:00:00,9,2901.8681693363064,19237.381830663693,19237.381830663693,1796.0214190482502,-226.82108846008444,-226.82108846008444,causal_param_policy,17441.360411615442,21033.403249711944,19010.56074220361,19010.56074220361,19010.56074220361,-226.82108846008487,-0.1262908593708655,1.0,-0.2847074999999995,0.10195750000000003,0.27241666666666686,0,0,0,76.4760884600837,hpso_param_policy
