scenario_group,scenario_name,scenario_value,scenario_settlement_method,total_profit,total_procurement_cost,mean_cvar99,mean_hedge_error,week_count,settlement_record_count,robustness_rank
contract_ratio_shift,contract_ratio_shift_-0.10,-0.1,rerun_materialize_particle_pair,2047456300.0,13599216576.0,4273776.975,0.6751800656318665,10,6528,4.0
policy_cutoff,policy_cutoff_2026-02-01,2026-02-01,rerun_materialize_particle_pair,730337314.0,9269985536.0,3184106.9,0.36544806957244874,7,4512,5.0
forecast_error_scale,forecast_error_scale_1.20,1.2,rerun_materialize_particle_pair,2295630828.0,16480980992.0,5180631.625,0.6464234828948975,10,6528,6.0
contract_ratio_shift,contract_ratio_shift_+0.00,0.0,rerun_materialize_particle_pair,1323356662.0,14323316224.0,4621811.45,0.5757081747055054,10,6528,7.0
forecast_error_scale,forecast_error_scale_1.00,1.0,rerun_materialize_particle_pair,1323356662.0,14323316224.0,4621811.45,0.5757081747055054,10,6528,7.0
policy_cutoff,policy_cutoff_2026-01-01,2026-01-01,rerun_materialize_particle_pair,1323356662.0,14323316224.0,4621811.45,0.5757081747055054,10,6528,7.0
forecast_error_scale,forecast_error_scale_0.80,0.8,rerun_materialize_particle_pair,-368808255.0,12885543616.0,4483943.375,0.4696352332830429,10,6528,8.0
contract_ratio_shift,contract_ratio_shift_+0.10,0.1,rerun_materialize_particle_pair,-414885376.25,16061558272.0,5615845.525,0.4761959910392761,10,6528,12.0
