#{"t_start": 1775987857.663166, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-47.183996,96,1.421124,1595954022.8612707,2346117.3919404787,5497772.152220929,1266.4254547262517,3865267.7359696436
-52.858512,96,2.855462,1591966657.5274494,2168508.594757974,168998.11696079778,14.215382545882946,3565819.0128963483
-50.755248,96,4.600064,1591966657.5274494,2168508.594757974,532312.6406301062,14.215382545882946,3565819.0128963483
-40.301271,96,5.972905,1592768487.0174417,2373826.589016,11317045.22527948,1596.3144581059148,3916471.11167827
-35.212436,96,7.447865,1561128220.7143033,2081116.4089994822,291146.5329387485,14.215382545882893,3448354.173114458
-47.992585,96,9.256035,1573502108.6066427,2249359.044327638,2287951.2387235295,707.8381018960588,3704026.5270833843
-41.022294,96,10.695213,1555179123.4004114,2267590.004839411,12716166.115880279,1623.4215298887,3765329.632587292
-50.07522,96,12.070947,1539503393.9521303,2020603.5527542767,532312.6532387165,14.215382545882893,3367065.107715289
-40.273471,96,13.82176,1591966651.0782871,2168508.5764013855,532312.6532387167,14.215382545882946,3565818.9882403407
-32.134742,96,15.255465,1389093550.7949386,1616523.004895652,532312.6532387167,14.215382545882946,2815555.6210497613
