week_start,is_partial_week,lock_ratio_base,delta_lock_ratio_raw,delta_lock_ratio,lock_ratio_final,lock_ratio,exposure_bandwidth,q_lt_target_w,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,procurement_cost_w,risk_term_w,trans_cost_w,hedge_error_w,cvar_w,baseline_cost_w,delta_cost_w,tail_penalty_w,reward_budget_w,reward_excess_w,z_delta_cost_w,action_smooth_w,hourly_smooth_w,hedge_error_norm_w,exec_quality_w,reward_raw,reward,avg_adjustment_mwh,mean_bandwidth_mwh,bound_clip_count,smooth_clip_count,soft_clip_count,non_negative_clip_count,cvar_budget_excess,strategy
2026-03-02,False,0.5368496811327237,-0.8877902626991272,-0.10653483152389526,0.12,0.12,1.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1430778849.7197278,2083948.3332599734,20767328.54243383,2521.280396052152,3354052.6955020153,1443479716.2702236,-12700866.550495863,0.0,250950083.34508926,0.0,-0.15421397298096046,1.0,0.9841412746760062,0.1194073893274882,0.2202246320530284,-0.042878563124923885,-0.019487788419130517,2521.280396052152,15969.818444962435,0,168,168,0,0.0,ppo
2026-03-09,False,0.5338797982060696,-1.0,-0.12,0.24,0.24,0.7757736444473267,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1099073912.4751816,2069221.5651448634,47716526.799499065,3669.4581513670287,3275765.38142436,1117739318.3795485,-18665405.90436697,0.0,199800796.7438325,0.0,-0.20623666559844836,1.0,0.9952395468382966,0.19597010596862247,0.23489378282141576,0.002278382616799829,0.001035628091935641,3669.4581513670287,9302.362215487039,11,168,168,0,0.0,ppo
2026-03-16,True,0.5404818420761452,-1.0,-0.12,0.36,0.36,1.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1137461659.7143192,2497729.2375551895,19321119.208538674,2477.3331506086456,4090971.727819322,1044632274.5112318,92829385.20308745,0.0,172648284.676554,0.0,0.7662205355548375,1.0,0.9544679509208657,0.1131739969272951,0.21672875552058235,-1.0978823714086454,-0.461359818707194,2477.3331506086456,11737.317741424089,1,120,120,0,0.0,ppo
2026-03-02,False,0.5368496811327237,0.5262526572273024,0.06315031886727629,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1487289134.6982782,2138518.797495934,262663.79768856167,19.059079193135307,3441325.278022448,1443479716.2702236,43809418.42805457,0.0,250950083.34508926,0.0,0.3386685466486187,1.0,0.028013171047785675,0.0009026345871730894,0.122403527909514,-0.5118723565554254,-0.2285597030402113,19.059079193135307,30.0,0,102,102,0,0.0,fixed_lock
2026-03-09,False,0.5338797982060696,0.5510016816160868,0.06612020179393041,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1197097714.343957,2152758.9876678847,229222.41135169688,19.485934306873656,3397518.062936522,1117739318.3795485,79358395.9644084,0.0,199800796.7438325,0.0,0.6487266117428576,1.0,0.022022989253813335,0.0010406606244011895,0.12194915805269727,-0.8679847615569835,-0.375266244507426,19.485934306873656,30.0,0,83,83,0,0.0,fixed_lock
2026-03-16,True,0.5404818420761452,0.4959846493654561,0.05951815792385473,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1049932251.2022532,2200608.2898146356,189831.0207690107,19.869884363988042,3528880.653971087,1044632274.5112318,5299976.691021442,0.0,172648284.676554,0.0,0.0027893225377894977,1.0,0.025022741832515693,0.0009077318613377472,0.12216521108164204,-0.12537293200009997,-0.056926085363423716,19.869884363988042,30.0,0,67,67,0,0.0,fixed_lock
2026-03-02,False,0.5368496811327237,0.0,0.0,0.12,0.12,0.0,429384.75,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1487289134.6982782,2138518.797495934,262663.79768856167,19.059079193135307,3441325.278022448,1443479716.2702236,43809418.42805457,0.0,250950083.34508926,0.0,0.3386685466486187,1.0,0.028013171047785675,0.0009026345871730894,0.122403527909514,-0.5118723565554254,-0.2285597030402113,19.059079193135307,30.0,0,102,102,0,0.0,dynamic_lock_only
2026-03-09,False,0.5338797982060696,0.0,0.0,0.24,0.24,0.0,746905.08,3112104.5,3145729.6325000003,305.6776642857143,2026-02起40%日前固定价+60%日内联动价代理,1197097714.343957,2152758.9876678847,229222.41135169688,19.485934306873656,3397518.062936522,1117739318.3795485,79358395.9644084,0.0,199800796.7438325,0.0,0.6487266117428576,1.0,0.022022989253813335,0.0010406606244011895,0.12194915805269727,-0.8679847615569835,-0.375266244507426,19.485934306873656,30.0,0,83,83,0,0.0,dynamic_lock_only
2026-03-16,True,0.5404818420761452,0.0,0.0,0.36,0.36,0.0,930368.52,2584357.0,2626751.605,383.18327666666664,2026-02起40%日前固定价+60%日内联动价代理,1049932251.2022532,2200608.2898146356,189831.0207690107,19.869884363988042,3528880.653971087,1044632274.5112318,5299976.691021442,0.0,172648284.676554,0.0,0.0027893225377894977,1.0,0.025022741832515693,0.0009077318613377472,0.12216521108164204,-0.12537293200009997,-0.056926085363423716,19.869884363988042,30.0,0,67,67,0,0.0,dynamic_lock_only
2026-03-02,False,0.5368496811327237,-1.0,-0.5368496811327237,0.1,0.1,0.7,357820.625,3578206.25,3547310.6725000003,374.7924238095238,2026-02起40%日前固定价+60%日内联动价代理,1438113394.5913448,2112286.3675295385,13847234.380159732,2034.312876819488,3397696.6876529455,1443479716.2702236,-5366321.678878784,0.0,250950083.34508926,0.0,-0.09024209674584674,0.8333333333333334,0.9766468097132783,0.09634469457528856,0.19547378980061422,-0.09169537854289048,-0.0416555989597016,2034.312876819488,11432.938204916289,0,168,168,0,0.0,rule_only
